QUEST_LV_0500_20190419_000001	누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.	케도라 상단원 이네타
QUEST_LV_0500_20220204_001464	이 곳을 배회하고 있는 적들의 모습을 보았나?{nl}오르샤에 소속되었던 병사이거나, 시민 혹은 상인들이 었다.{nl}신수의 날 이후 델무어로 피신한 피난민들도 다수 있었겠지.	라민
QUEST_LV_0500_20220204_001465	그러나 저들이 우리 왕국군의 길을 막고 있으니 적이라는 사실은 명확하다.{nl}다만 병사들의 눈빛에 망설임이 만연하군.	라민
QUEST_LV_0500_20220204_001466	이대로 전투가 시작되면 제대로 싸워보지도 못하고 전멸당할 거다.{nl}병사들을 독려할 필요가 있다.	라민
QUEST_LV_0500_20220204_001467	아군의 전투를 준비하기 위해 변질된 병사들이 버려둔 보급품을 확보하고 재정비해라.	라민
QUEST_LV_0500_20220204_001468	좋다.{nl}서둘러 움직이도록.	라민
QUEST_LV_0500_20220204_001469	변질된 병사들이 버려둔 보급품을 확보해라.	라민
QUEST_LV_0500_20220204_001470	준비가 끝났나?{nl}이건 오르샤의 깃발이군.{nl}	라민
QUEST_LV_0500_20220204_001471	시간을 더 지체할 수는 없다.{nl}자네도 준비가 끝났나?	라민
QUEST_LV_0500_20220204_001472	좋다.	라민
QUEST_LV_0500_20220204_001473	자리로 가서 준비해라.{nl}왕국군의 깃발과 함께 오르샤의 깃발을 함께 세워라.{nl}적당한 복수심을 심어준다면 전투에 있어서도 큰 효과를 가져올 거다.	라민
QUEST_LV_0500_20220204_001474	잘 싸워주었다.{nl}델무어 외부에는 간간히 적대적인 무리들이 발견되긴 하지만, 왕국군에 큰 위협이 될 정도는 아니다.	라민
QUEST_LV_0500_20220204_001475	센츄리온 마스터에게는 후방 경계와 잔당 처리를 맡겼다.	라민
QUEST_LV_0500_20220204_001476	소식을 들었습니다.{nl}저는 대장군의 명령에 따라 후방 지역의 잔당을 소탕하겠습니다.	센츄리온 마스터
QUEST_LV_0500_20220204_001477	당신의 활약에 대해 왕국군은 높이 사고 있습니다.	센츄리온 마스터
QUEST_LV_0500_20220204_001478	아직 전쟁이 끝난 건 아니다.{nl}싸울 수 있는 동료들을 모아라.	라민
QUEST_LV_0500_20220204_001479	자리로 이동해라.{nl}뭉그적거릴 여유는 없다.	라민
QUEST_LV_0500_20220204_001480	잠깐, 병사들의 비명 소리가 들린다.{nl}계시자 너도 들었나?	라민
QUEST_LV_0500_20220204_001481	오르샤의 공성장비가 도착했다.{nl}공성장비를 바리케이드 너머로 옮기는 데에만 많은 왕국군이 희생을 치렀다.	라민
QUEST_LV_0500_20220204_001482	여신의 계시를 받은 계시자들은 인간의 한계를 넘어선 힘을 발휘한다고 하지.{nl}지난 전투에서 너와 함께 싸운 병사들 사이에서 네 이야기가 들리더군.	라민
QUEST_LV_0500_20220204_001483	그들에게 너는 영웅이 되었다.{nl}친구이자 전우를 잃고 전장에 고립된 상황에서도 병사들이 포기하지 않은 건{nl}네가 병사들과 함께 싸워주고 있기 때문이었다.	라민
QUEST_LV_0500_20220204_001484	병사들이 목숨을 걸고 너의 전투를 돕기위해 공성장비를 전장에 들여 놓는 데는 성공했다.{nl}이제 네 차례다.	라민
QUEST_LV_0500_20220204_001485	가서 {#003399}성문{/}을 열어라.	라민
QUEST_LV_0500_20220204_001486	{#003399}격전지{/}로 진입한다.	라민
QUEST_LV_0500_20220204_001487	{#003399}격전지{/}로 진입하도록.	라민
QUEST_LV_0500_20220204_001488	덕분에 델무어 내부로 가는 길이 열렸군.{nl}이 공로는 카오닐라 공주님께서 크게 치하하실 거다.	라민
QUEST_LV_0500_20220204_001489	물론, 나 역시 네 공로를 인정하고 있다.{nl}잘 싸워주었다.	라민
QUEST_LV_0500_20220204_001490	내부로 들어갈 준비가 끝나면 다시 너를 찾겠다.	라민
QUEST_LV_0500_20220204_001491	      {img GuideQuest_StartLine3_MiniMap_2 300 240}{nl}조잡해 보이는 해도는 오르샤와 왕국령 모로스 공관이 얼마나 멀리 떨어져 있는지 가늠하게 한다.	PC
QUEST_LV_0500_20220204_001492	모로스의 계시자(1)	
QUEST_LV_0500_20220204_001493	왕국령 모로스 공관으로 진입하세요	
QUEST_LV_0500_20220204_001494	[튜토리얼] 대화와 상호작용	
QUEST_LV_0500_20220204_001495	문제가 있는 것 같습니다.{nl}검사를 기다리고 있는 피난민들과 대화해봅시다.	
QUEST_LV_0500_20220204_001496	소녀의 환영과 대화해봅시다.	
QUEST_LV_0500_20220204_001497	[튜토리얼] 성장 장비 착용	
QUEST_LV_0500_20220204_001498	모로스의 계시자(2)	
QUEST_LV_0500_20220204_001499	모로스의 계시자(3)	
QUEST_LV_0500_20220204_001500	소녀의 환영이 당신을 찾고 있습니다.	
QUEST_LV_0500_20220204_001501	[튜토리얼] 첫 번째 전직	
QUEST_LV_0500_20220204_001502	전직해 보겠다고 한다	
QUEST_LV_0500_20220204_001503	모로스의 계시자(4)	
QUEST_LV_0500_20220204_001504	무책임하다고 한다	
QUEST_LV_0500_20220204_001505	모로스의 계시자(5)	
QUEST_LV_0500_20220204_001506	오위니아 딜벤을 찾아가겠다고 한다	
QUEST_LV_0500_20220204_001507	이곳에 오래 머무를 생각이 없다고 한다	
QUEST_LV_0500_20220204_001508	모로스의 계시자(6)	
QUEST_LV_0500_20220204_001509	잠시 둘러보고 오겠다고 한다	
QUEST_LV_0500_20220204_001510	모로스의 계시자(7)	
QUEST_LV_0500_20220204_001511	걸어가겠다고 한다	
QUEST_LV_0500_20220204_001512	[튜토리얼] 퀘스트 아이템 사용	
QUEST_LV_0500_20220204_001513	수상해서 하기 싫다고 한다	
QUEST_LV_0500_20220204_001514	모로스의 계시자(8)	
QUEST_LV_0500_20220204_001515	문제를 일으키고 싶지 안핟고 한다	
QUEST_LV_0500_20220204_001516	모로스의 계시자(9)	
QUEST_LV_0500_20220204_001517	[튜토리얼] 보스 몬스터와의 전투	
QUEST_LV_0500_20220204_001518	알아내겠다고 한다	
QUEST_LV_0500_20220204_001519	혼자선 위험하다고 한다	
QUEST_LV_0500_20220204_001520	모로스의 계시자(10)	
QUEST_LV_0500_20220204_001521	모로스의 계시자(11)	
QUEST_LV_0500_20220204_001522	어쩔 수 없이 따른다	
QUEST_LV_0500_20220204_001523	모로스의 계시자(12)	
QUEST_LV_0500_20220204_001524	흥분하지 말라고 한다	
QUEST_LV_0500_20220204_001525	모로스의 계시자(13)	
QUEST_LV_0500_20220204_001526	모로스의 계시자(14)	
QUEST_LV_0500_20220204_001527	떠날 준비가 되었다고 한다	
QUEST_LV_0500_20220204_001528	전장 속으로	
QUEST_LV_0500_20220204_001529	곧장 합류하겠다고 한다	
QUEST_LV_0500_20220204_001530	병력 재집결(1)	
QUEST_LV_0500_20220204_001531	돕기 어렵다고 한다	
QUEST_LV_0500_20220204_001532	병력 재집결(2)	
QUEST_LV_0500_20220204_001533	서둘러 가자고 한다	
QUEST_LV_0500_20220204_001534	병력 재집결(3)	
QUEST_LV_0500_20220204_001535	병력 재집결(4)	
QUEST_LV_0500_20220204_001536	이동 장치 확인	
QUEST_LV_0500_20220204_001537	번거롭다고 한다	
QUEST_LV_0500_20220204_001538	델무어 장원으로	
QUEST_LV_0500_20220204_001539	참전하겠다고 한다	
QUEST_LV_0500_20220204_001540	임시 거점	
QUEST_LV_0500_20220204_001541	델무어 장원으로 가자고 한다	
QUEST_LV_0500_20220204_001542	아직 할 일이 있다고 한다	
QUEST_LV_0500_20220204_001543	물자 모으기	
QUEST_LV_0500_20220204_001544	물자들을 찾아보겠다고 한다	
QUEST_LV_0500_20220204_001545	시답지 않은 일이라고 한다	
QUEST_LV_0500_20220204_001546	바리케이드 구축	
QUEST_LV_0500_20220204_001547	직접 설치해주겠다고 한다	
QUEST_LV_0500_20220204_001548	난전 해결 (1)	
QUEST_LV_0500_20220204_001549	병사들을 찾아보겠다고 한다	
QUEST_LV_0500_20220204_001550	난전 해결 (2)	
QUEST_LV_0500_20220204_001551	난전 해결 (3)	
QUEST_LV_0500_20220204_001552	적재 적소	
QUEST_LV_0500_20220204_001553	각자가 할 일	
QUEST_LV_0500_20220204_001554	그럼 델무어 외성으로 가는 길을 정리해두고 가겠다고 한다	
QUEST_LV_0500_20220204_001555	먼저 할 일이 있다고 한다	
QUEST_LV_0500_20220204_001556	먼저 온 동료	
QUEST_LV_0500_20220204_001557	마족의 방어 계획 (1)	
QUEST_LV_0500_20220204_001558	마족의 방어 계획 (2)	
QUEST_LV_0500_20220204_001559	거점을 찾는 데 동의한다	
QUEST_LV_0500_20220204_001560	마족의 방어 계획 (3)	
QUEST_LV_0500_20220204_001561	마족의 방어 계획 (4)	
QUEST_LV_0500_20220204_001562	어서 추적하자고 한다	
QUEST_LV_0500_20220204_001563	마족의 방어 계획 (5)	
QUEST_LV_0500_20220204_001564	마족의 방어 계획 (6)	
QUEST_LV_0500_20220204_001565	왕국군 구조	
QUEST_LV_0500_20220204_001566	라민 대장군	
QUEST_LV_0500_20220204_001567	조금 쉬는 게 좋겠다고 한다	
QUEST_LV_0500_20220204_001568	생존자 탐색	
QUEST_LV_0500_20220204_001569	명령을 따르겠다고 한다	
QUEST_LV_0500_20220204_001570	명령을 따르기 위해 준비가 필요하다고 한다	
QUEST_LV_0500_20220204_001571	포위 해제	
QUEST_LV_0500_20220204_001572	별동대	
QUEST_LV_0500_20220204_001573	그레스미의 정체	
QUEST_LV_0500_20220204_001574	흉조의 실체	
QUEST_LV_0500_20220204_001575	버려진 무기들	
QUEST_LV_0500_20220204_001576	총력전	
QUEST_LV_0500_20220204_001577	자리로 가겠다고 한다	
QUEST_LV_0500_20220204_001578	아직 준비가 끝나지 않았다고 한다	
QUEST_LV_0500_20220204_001579	좌측 전선(1)	
QUEST_LV_0500_20220204_001580	좌측 전선(2)	
QUEST_LV_0500_20220204_001581	중앙 진출	
QUEST_LV_0500_20220204_001582	우측 전선	
QUEST_LV_0500_20220204_001583	측면 돌파	
QUEST_LV_0500_20220204_001584	승전보	
QUEST_LV_0500_20220204_001585	인간의 관문	
QUEST_LV_0500_20220204_001586	들었다	
QUEST_LV_0500_20220204_001587	못 들었다	
QUEST_LV_0500_20220204_001588	델무어 격전지	
QUEST_LV_0500_20220204_001589	준비가 끝났다고 한다	
QUEST_LV_0500_20220204_001590	문턱을 넘는다	
QUEST_LV_0500_20220204_001591	모로스의 계시자	
QUEST_LV_0500_20220204_001592	왕국령 모로스 공관 진입	
QUEST_LV_0500_20220204_001593	꿈 속 소녀의 집요한 설득으로 당신은 결국 이 곳에 도착했습니다. 이것이 새로운 시작일까요? 아직 아무것도 알 수 없지만 이 곳 사람들에게 물어보면 실마리를 찾을 수 있을 것 같습니다. 공관 경비병에게 사정을 이야기하고 말이 통하는 사람을 찾아봅시다.	
QUEST_LV_0500_20220204_001594	피난민들과 대화하기	
QUEST_LV_0500_20220204_001595	아무래도 공관으로 들어가려면 시간이 걸릴 것 같습니다. 입구의 피난민들과 대화하며 최근 모로스에서 벌어진 일들을 알아봅시다.	
QUEST_LV_0500_20220204_001596	소녀의 환영과 대화하기	
QUEST_LV_0500_20220204_001597	오랜 기간 당신의 꿈 속에 나타나 계시의 꿈과 이 공관을 찾아가라고 말하던 소녀의 환영이 나타났습니다. 소녀의 환영과 대화해 봅시다.	
QUEST_LV_0500_20220204_001598	성장 장비 착용	
QUEST_LV_0500_20220204_001599	인벤토리를 열어 성장 장비를 선택하고 착용하세요	
QUEST_LV_0500_20220204_001600	소녀의 환영과 대화	
QUEST_LV_0500_20220204_001601	대장군 라민과 대화	
QUEST_LV_0500_20220204_001602	전직 1회 완료	
QUEST_LV_0500_20220204_001603	공관실 찾아가기	
QUEST_LV_0500_20220204_001604	카오닐라 헨류시와 대화	
QUEST_LV_0500_20220204_001605	오위니아 딜벤에게 되돌아 가기	
QUEST_LV_0500_20220204_001606	영혼 투사기 사용	
QUEST_LV_0500_20220204_001607	오위니아 딜벤에게 영혼 투사기 사용	
QUEST_LV_0500_20220204_001608	휴식 취하기	
QUEST_LV_0500_20220204_001609	숨어든 마족 간부 처치	
QUEST_LV_0500_20220204_001610	랑다 마스터 따라가기	
QUEST_LV_0500_20220204_001611	호위대장 헤오샤와 대화	
QUEST_LV_0500_20220204_001612	오르샤의 영주 이네사 해먼데일을 찾아가기	
QUEST_LV_0500_20220204_001613	오르샤의 영주가 급히 당신을 찾고 있습니다{nl}오르샤로 가 영주를 만나세요	
QUEST_LV_0500_20220204_001614	키르티마스 숲을 지나 델무어 소작촌으로 가기	
QUEST_LV_0500_20220204_001615	오르샤 영주의 말에 의하면, 키렌 지방을 침공한 주시자의 군세에 맞서기 위하여 왕국군이 주시자의 본거지인 델무어를 공격했다고 합니다{nl}파야우타는 일찍이 왕국군에 합류했으며 그녀는 당신 역시 왕국군에 가세해 주기를 바라고 있습니다{nl}델무어 소작촌으로 가는 방법은 렘파라사 연못과 키르티마스 숲을 통해 이어진 육로가 있으나, 전쟁의 여파로 렘파라사 연못과 이어진 통로는 차단된 상태입니다{nl}키르티마스 숲을 지나 델무어 소작촌으로 이동하세요{nl}	
QUEST_LV_0500_20220204_001616	센츄리온 마스터와 대화하기	
QUEST_LV_0500_20220204_001617	델무어 소작촌에 진입하자 교전 중이던 왕국군과 센츄리온 마스터를 만났습니다{nl}센츄리온 마스터는 당신을 알고 있는 눈치입니다{nl}센츄리온 마스터와 이야기하세요	
QUEST_LV_0500_20220204_001618	센츄리온 마스터는 파야우타로 부터 당신의 이야기를 들었다고 합니다{nl}그러나 사담은 다음을 기약하고 센츄리온 마스터와 합류할 수 있도록 그와 이야기하세요	
QUEST_LV_0500_20220204_001619	흩어진 병사들을 찾기	
QUEST_LV_0500_20220204_001620	센츄리온 마스터는 파야우타의 부탁으로 당신을 왕국군 본대에 무사히 합류시키기 위해 이곳을 지키던 중이었습니다{nl}그러나 적의 공세에 오래 버티지는 못했고 그를 따르던 병사들이 흩어져 곳곳에서 교전 중이라고 합니다{nl}전쟁에서 왕국군이 승리할 수 있도록 센츄리온 마스터를 도와 흩어진 병사들을 합류시켜야 합니다	
QUEST_LV_0500_20220204_001621	교전 중이던 병사들을 일부 찾았습니다{nl}다음 지역으로 이동하기 전에 센츄리온 마스터와 대화하세요	
QUEST_LV_0500_20220204_001622	병사들을 일부 찾았습니다{nl}다음 지역으로 이동하기 전에 센츄리온 마스터와 대화하세요	
QUEST_LV_0500_20220204_001623	열세 속에 숨어 있는 병사들을 찾아보기	
QUEST_LV_0500_20220204_001624	가까운 지역으로 이동해 적들을 몰아내고 병사들을 찾으세요	
QUEST_LV_0500_20220204_001625	숨어있던 병사들을 일부 찾았습니다{nl}다음 지역으로 이동하기 전에 센츄리온 마스터와 대화하세요	
QUEST_LV_0500_20220204_001626	센츄리온 마스터와 대화하세요	
QUEST_LV_0500_20220204_001627	주변의 몬스터를 처치하고 무기로 쓸만한 것들을 획득하기	
QUEST_LV_0500_20220204_001628	앞으로 있을 전투에 대비하기 위해 병사들이 싸울 수 있는 여건이 되어야 합니다{nl}블릭페릿들로부터 무기를 탈취하세요	
QUEST_LV_0500_20220204_001629	충분히 많은 무기를 확보했습니다{nl}센츄리온 마스터와 대화하세요	
QUEST_LV_0500_20220204_001630	센츄리온 마스터와 다음 목표에 대해 상의하세요	
QUEST_LV_0500_20220204_001631	블릭페릿 사이에서 연락책을 찾아 처치하기	
QUEST_LV_0500_20220204_001632	델무어 소작촌에 흩어진 병사들은 대부분 찾았습니다{nl}그러나 당신과 센츄리온 마스터의 움직임을 블릭페릿들도 감지했습니다{nl}적들의 집결 시간을 지연시키기 위해 연락책을 맡은 적들을 찾아 제거하세요	
QUEST_LV_0500_20220204_001633	연락책들을 찾아 충분히 제거했습니다{nl}센츄리온 마스터와 대화하세요	
QUEST_LV_0500_20220204_001634	델무어 장원으로 가는 이동 장치 확인하기	
QUEST_LV_0500_20220204_001635	과거 델무어 소작촌과 델무어 외성을 잇던 승강기가 있습니다{nl}승강기를 사용할 수 있는 지 확인하기 위해 이쉰티 사거리에서 윗길을 따라가 승강기를 확인하세요	
QUEST_LV_0500_20220204_001636	거대한 크루비나 장벽이 승강기를 완전히 박살 냈습니다{nl}센츄리온 마스터와 대화하세요	
QUEST_LV_0500_20220204_001637	델무어 장원으로 이동할 방법을 모색하기 위해 센츄리온 마스터와 상의하세요	
QUEST_LV_0500_20220204_001638	델무어 장원 입구 지역을 확보하기	
QUEST_LV_0500_20220204_001639	델무어 장원으로 이어진 육로를 확보하는 게 유일한 방법입니다{nl}센츄리온 마스터와 그의 병사들과 함께 델무어 장원 진입지 근처를 공격해 입구를 확보하세요	
QUEST_LV_0500_20220204_001640	델무어 장원 진입지 근처를 성공적으로 확보했습니다{nl}델무어 장원 입구 근처의 센츄리온 마스터와 대화하세요	
QUEST_LV_0500_20220204_001641	델무어 장원으로 이동하기 전에 센츄리온 마스터와 대화하세요	
QUEST_LV_0500_20220204_001642	델무어 장원에서 센츄리온 마스터와 합류하고 근처를 조사하기	
QUEST_LV_0500_20220204_001643	델무어 장원에서도 교전 중인 왕국군들이 있을 겁니다{nl}우선 델무어 장원에서 센츄리온 마스터와 합류하고 근처를 조사하세요	
QUEST_LV_0500_20220204_001644	델무어 장원에서 위기에 처해 죽을 뻔한 왕국군을 구했습니다{nl}센츄리온 마스터와 대화하세요	
QUEST_LV_0500_20220204_001645	센츄리온 마스터는 전황이 안좋다는 우려를 표했습니다{nl}그러나 이런 상황에서 할 수 있는 일을 찾아야만 합니다{nl}센츄리온 마스터와 상의하세요	
QUEST_LV_0500_20220204_001646	임시 거점을 보강할 물자를 모으기	
QUEST_LV_0500_20220204_001647	센츄리온 마스터는 공황을 겪고 있거나 다친 병사들이 잠시나마 안전한 휴식을 취할 수 있는 장소가 필요하다고 합니다{nl}현재 이곳은 전쟁터이고 주변에는 부서진 자재들이 많습니다{nl}간단한 바리케이드를 만들 수 있는 물자를 모을 수 있습니다	
QUEST_LV_0500_20220204_001648	센츄리온 마스터에게 물자를 가져다주기	
QUEST_LV_0500_20220204_001649	부족하지 않을 만큼 부서진 자재를 확보했으며{nl}근처에서 버려진 텐트의 일부를 잘라내 쓸만한 텐트 자재도 모았습니다{nl}센츄리온 마스터에게 모은 물자들을 가져가세요	
QUEST_LV_0500_20220204_001650	당신이 모아온 물자 덕분에 부상병들을 눕게 할 임시 텐트도 마련했습니다{nl}센츄리온 마스터와 대화하세요	
QUEST_LV_0500_20220204_001651	거점에 바리게이트 설치하기	
QUEST_LV_0500_20220204_001652	임시 거점을 방어할 수 있도록 지정된 곳에 바리케이드를 설치하세요	
QUEST_LV_0500_20220204_001653	센츄리온 마스터에게 결과를 보고하기	
QUEST_LV_0500_20220204_001654	바리케이드를 충분히 설치했습니다{nl}센츄리온 마스터와 대화하세요	
QUEST_LV_0500_20220204_001655	성벽 재건 구역에서 전투 중인 병사들을 돕고 병사들을 거점으로 안내하기	
QUEST_LV_0500_20220204_001656	성벽 재건 구역에서 교전 중인 왕국군들을 찾아 그들과 교전 중인 적들을 몰아내고, 왕국군들이 임시 거점으로 후퇴하도록 명령하세요	
QUEST_LV_0500_20220204_001657	칼보스 공터에서 전투 중인 병사들을 돕고 병사들을 거점으로 안내하기	
QUEST_LV_0500_20220204_001658	칼보스 공터에서 교전 중인 왕국군들을 찾아 그들과 교전 중인 적들을 몰아내고, 왕국군들이 임시 거점으로 후퇴하도록 명령하세요	
QUEST_LV_0500_20220204_001659	라타스 사거리에서 전투 중인 병사들을 돕고 병사들을 거점으로 안내하기	
QUEST_LV_0500_20220204_001660	라타스 사거리에서 교전 중인 왕국군들을 찾아 그들과 교전 중인 적들을 몰아내고, 왕국군들이 임시 거점으로 후퇴하도록 명령하세요	
QUEST_LV_0500_20220204_001661	공방 거리로 이동하기	
QUEST_LV_0500_20220204_001662	공방 거리에서 교전 중인 왕국군들을 찾아 그들과 교전 중인 적들을 몰아내고, 왕국군들이 임시 거점으로 후퇴하도록 명령하세요	
QUEST_LV_0500_20220204_001663	아군 거점을 공격하는 적들을 저지하기	
QUEST_LV_0500_20220204_001664	적들이 왕국군의 임시 거점을 공격하기 위해 집결했습니다{nl}공격해오는 적들을 막으세요	
QUEST_LV_0500_20220204_001665	다행히 당신이 늦지 않은 덕에 임시 거점을 지켜낼 수 있었습니다{nl}센츄리온 마스터와 대화하세요	
QUEST_LV_0500_20220204_001666	델무어 외성 진입로를 확보하고 델무어 외성으로 이동하기	
QUEST_LV_0500_20220204_001667	센츄리온 마스터는 아직 흩어져 있는 병사들을 규합하기 위해 이곳 임시 거점에 남겠다고 합니다{nl}추후 그가 재정비를 마치면 본대에 합류할 계획입니다{nl}그때를 위해 델무어 외성으로 이어지는 통로를 지키는 적들을 몰아내세요	
QUEST_LV_0500_20220204_001668	델무어 외성으로 이동하기	
QUEST_LV_0500_20220204_001669	델무어 외성으로 이동하세요	
QUEST_LV_0500_20220204_001670	델무어 외성에서 파야우타를 만났습니다{nl}파야우타와 이야기를 나누세요	
QUEST_LV_0500_20220204_001671	파야우타가 이곳에서 무엇을 하고 있었는 들어보세요	
QUEST_LV_0500_20220204_001672	목표 지점의 적들을 소탕하고 소지품을 탈취하기	
QUEST_LV_0500_20220204_001673	파야우타는 왕국군의 지휘관인 대장군의 명령으로 적들의 거점을 찾고 있었습니다{nl}적의 거점에서 적들이 가지고 있을 거라 추정되는 방어 계획서들과 작전 문서를 찾기 위해 파야우타와 함께 움직이세요{nl}데가름 진입로에 집결 중인 적들을 공격하세요	
QUEST_LV_0500_20220204_001674	델무어 소작촌과 델무어 장원의 방어 계획도를 획득했습니다{nl}파야우타와 대화하세요	
QUEST_LV_0500_20220204_001675	방어 계획도 획득	
QUEST_LV_0500_20220204_001676	파야우타와 다음 계획을 이야기하기	
QUEST_LV_0500_20220204_001677	두 방어 계획도는 이미 지나온 곳이라 큰 소용이 있지는 않습니다{nl}다음 계획을 위해 파야우타와 대화하세요	
QUEST_LV_0500_20220204_001678	목표 지점에서 몬스터들의 족적을 조사하기	
QUEST_LV_0500_20220204_001679	파야우타는 적어도 적들이 방어 계획도를 가지고 있다는 사실을 확인했다며 의기를 다졌습니다{nl}적의 거점을 찾기 위해 델무어 외성 곳곳으로 이어져 있는 타지카 갈림길에서 족적을 조사하세요	
QUEST_LV_0500_20220204_001680	족적의 조사 결과를 파야우타와 이야기하기	
QUEST_LV_0500_20220204_001681	유난히 많은 족적이 오렘 집회장으로 이어져 있습니다{nl}파야우타와 족적에 대해 논의하세요	
QUEST_LV_0500_20220204_001682	파야우타와 다음 계획을 논의하기	
QUEST_LV_0500_20220204_001683	다음 계획에 대해 파야우타와 상의하세요	
QUEST_LV_0500_20220204_001684	족적을 따라 적의 거점을 습격하기	
QUEST_LV_0500_20220204_001685	파야우타는 오렘 집회장으로 가면 적들의 거점이 있을 거라고 합니다{nl}오렘 집회장으로 이동해 적들을 처치하고 거점을 파괴하세요	
QUEST_LV_0500_20220204_001686	거점을 파괴했지만, 방어 계획도는 찾지 못했습니다{nl}파야우타와 이야기하세요	
QUEST_LV_0500_20220204_001687	파야우타는 오렘 집회장의 윗길을 유심히 살피고 있습니다{nl}파야우타의 생각을 들어보세요	
QUEST_LV_0500_20220204_001688	렘파라사 연못과 이어지는 보급로의 안전을 확보하기	
QUEST_LV_0500_20220204_001689	오렘 집회장의 윗길이 바로 오르샤의 영주가 말한 렘파라사 연못과 연결되었으나 전쟁의 여파로 차단된 통로입니다{nl}아군의 보급로를 확보하기 위해 통로를 확보하세요	
QUEST_LV_0500_20220204_001690	차단된 통로를 막아서기 위해 몰려오는 적들을 저지했습니다{nl}파야우타와 대화하세요	
QUEST_LV_0500_20220204_001691	파야우타와 다음 계획에 대해 상의하세요	
QUEST_LV_0500_20220204_001692	거점에서 벗어나 이동 중인 몬스터를 추적하기	
QUEST_LV_0500_20220204_001693	파야우타의 말에 의하면 거점에서 이어지는 또 다른 족적들이 있다고 합니다{nl}생긴 지 얼마 안 된 족적이니 추적할 수 있습니다{nl}족적이 이어지는 외성 광장으로 이동해 적들을 처치하고 방어 계획서를 찾으세요	
QUEST_LV_0500_20220204_001694	델무어 외성의 방어 계획서를 찾았습니다{nl}파야우타에게 보여주세요	
QUEST_LV_0500_20220204_001695	방어 계획서 획득	
QUEST_LV_0500_20220204_001696	다음 계획에 대해 델무어 외성의 방어 계획도를 토대로 파야우타와 상의하세요	
QUEST_LV_0500_20220204_001697	적의 주요 거점을 파괴하기	
QUEST_LV_0500_20220204_001698	델무어 외성의 방어 계획도에 따르면 성채 마루 지역에 규모가 큰 거점이 있습니다{nl}그곳이라면 나머지 방어 계획도와 작전 문서를 찾을 수 있을 겁니다{nl}성채 마루에 있는 적들을 처치하고 거점을 파괴하세요	
QUEST_LV_0500_20220204_001699	거점을 모조리 파괴했습니다{nl}파야우타와 대화하세요	
QUEST_LV_0500_20220204_001700	다음 계획을 위해 파야우타와 대화하세요	
QUEST_LV_0500_20220204_001701	상부 거점을 공격하기	
QUEST_LV_0500_20220204_001702	성채 마루와 이어져 있는 상부 거점을 공격하세요	
QUEST_LV_0500_20220204_001703	시간내에 %s 파괴하기	
QUEST_LV_0500_20220204_001704	델무어 내성에서 파야우타를 찾기	
QUEST_LV_0500_20220204_001705	모든 델무어 내성과 정원의 방어 계획도와 작전문서를 확보했습니다{nl}델무어 내성으로 이동해 파야우타를 찾으세요	
QUEST_LV_0500_20220204_001706	파야우타와 함께 살아남기	
QUEST_LV_0500_20220204_001707	파야우타로 부터 방출된 의문의 힘이 근처의 적들과 왕국군까지 집어삼켰습니다{nl}어떻게 된 영문인지는 모르겠지만, 소란에 반응해 몰려오는 적들로부터 살아남으세요	
QUEST_LV_0500_20220204_001708	다행히 공격이 잠잠해진 듯합니다{nl}파야우타의 상태를 확인하세요	
QUEST_LV_0500_20220204_001709	파야우타 본인도 적지 않게 당황해 보입니다{nl}파야우타와 대화하세요	
QUEST_LV_0500_20220204_001710	왕국군의 거점을 찾아가기	
QUEST_LV_0500_20220204_001711	라민 대장군이 이끄는 왕국군 본대가 근처에 거점을 지었다고 합니다{nl}왕국군 거점을 찾아가세요	
QUEST_LV_0500_20220204_001712	대장군 라민을 찾기	
QUEST_LV_0500_20220204_001713	왕국군 거점에서 라민 대장군을 찾으세요	
QUEST_LV_0500_20220204_001714	대장군 라민과 대화하기	
QUEST_LV_0500_20220204_001715	라민 대장군을 찾았습니다{nl}대장군과 이야기를 나누세요	
QUEST_LV_0500_20220204_001716	낙오된 정찰병을 찾아 거점까지 호위하기	
QUEST_LV_0500_20220204_001717	파야우타는 거점에 남아 문서들의 판독을 돕기로 했습니다{nl}그사이 라민은 당신에게 낙오된 정찰병을 찾을 것을 지시했습니다{nl}차단된 보급로를 수색하고 낙오된 정찰병을 찾아 거점까지 호위하세요	
QUEST_LV_0500_20220204_001718	낙오되었던 정찰병을 무사히 거점까지 호위했습니다{nl}라민 대장군에게 보고하세요	
QUEST_LV_0500_20220204_001719	라민 대장군과 함께 구출된 정찰병의 보고를 들으세요	
QUEST_LV_0500_20220204_001720	거점 앞의 적들을 처치하기	
QUEST_LV_0500_20220204_001721	적의 우두머리로 추정되는 마족을 찾기 위해 당신과 파야우타, 대장군은 별동대를 꾸려 움직일 겁니다{nl}라민 대장군과 파야우타가 별동대를 꾸리는 동안 거점을 포위하고 있는 전방의 적들을 처치하세요	
QUEST_LV_0500_20220204_001722	대장군 라민에게 보고하기	
QUEST_LV_0500_20220204_001723	거점을 포위하고 있던 적들을 적당히 정리했습니다{nl}라민 대장군에게 보고하세요	
QUEST_LV_0500_20220204_001724	곧 별동대가 준비를 마칠 겁니다{nl}라민 대장군과 대화하세요	
QUEST_LV_0500_20220204_001725	중심지로 향하기	
