SKILL_20180327_000001	攻击	공격	
SKILL_20200128_012362	愤怒爆发	분노 폭발	
SKILL_20200128_012363	将盾牌挡在前面转换为积极的防御姿势。在[高级守护]BUFF中虽自己的攻击会变弱，但如格挡敌人的攻击会以20%获得盾牌防护。在[高级守护: 盾牌]BUFF中不可格挡，也不会套用重叠效果。{nl}在BUFF活化期间，如再次使用技能或解除著装的盾牌时效果会解除。{nl}(因自动武器位置互换而无法使用技能。)	방패를 앞세우는 적극적인 방어 스탠스로 전환합니다. [하이 가드] 버프 중에는 자신의 공격이 약해지지만 적의 공격을 블록하면 20% 확률로 방패 방어력에 비례하여 실드를 얻습니다. [하이가드: 실드] 버프 중에는 블록이 불가능하며, 중첩으로 적용되지 않습니다.{nl}버프 활성화 중에 스킬을 다시 사용하거나 방패 착용 해제 시 효과가 제거됩니다.{nl}(자동 무기 스왑으로 스킬을 사용할 수 없습니다.)	SKILL_20190820_010362	将盾牌挡在前面转换为积极的防御姿势。在[高级守护]BUFF中虽自己的攻击会变弱，但如格挡盾牌防御力会以比例获得防护。在[高级守护: 盾牌]BUFF中不可格挡，也不会套用重叠效果。{nl}在BUFF活化期间，如再次使用技能或解除著装的盾牌时效果会解除。{nl}(因自动武器位置互换而无法使用技能。)	방패를 앞세우는 적극적인 방어 스탠스로 전환합니다. [하이 가드] 버프 중에는 자신의 공격이 약해지지만 적의 공격을 블록하면 방패 방어력에 비례하여 실드를 얻습니다. [하이가드: 실드] 버프 중에는 블록이 불가능하며, 중첩으로 적용되지 않습니다.{nl}버프 활성화 중에 스킬을 다시 사용하거나 방패 착용 해제 시 효과가 제거됩니다.{nl}(자동 무기 스왑으로 스킬을 사용할 수 없습니다.)	
SKILL_20200128_012364	依目前装备中的盾牌防御力数值比例增加防御力。{nl}武器位置互换时(包含自动位置互换)，如没有盾牌BUFF会立即解除。{nl}{#005060}无法与重剑防御BUFF重叠使用。	현재 착용하고 있는 방패의 방어력 수치에 비례하여 방어력이 증가합니다.{nl}무기 스왑시(자동 스왑 포함) 방패가 없다면 버프가 바로 해제됩니다.{nl}{#005060}에페 갸르드 버프와 중첩하여 사용할 수 없습니다.	SKILL_20190820_010364	依目前装备中的盾牌防御力数值比例增加防御力。{nl}武器位置互换时(包含自动位置互换)，如没有盾牌BUFF会立即解除。{nl}{#00113F}无法与重剑防御BUFF重叠使用。	현재 착용하고 있는 방패의 방어력 수치에 비례하여 방어력이 증가합니다.{nl}무기 스왑시(자동 스왑 포함) 방패가 없다면 버프가 바로 해제됩니다.{nl}{#00113F}에페 갸르드 버프와 중첩하여 사용할 수 없습니다.	
SKILL_20200128_012365	连续刺击敌人给予伤害。连续刺击越多，对敌人造成的伤害会增加。{nl}{#005060}当套用[龙骑士头盔]或[开始]BUFF时，最大打击次数增加 3次。{/}	적을 연속으로 찔러 피해를 줍니다. 연속으로 찌를수록 적에게 주는 대미지가 증가합니다.{nl}{#005060}[드라군 헬멧] 또는 [개시] 버프가 적용중일 경우, 최대 타격 횟수가 3회 증가합니다.{/}	SKILL_20190820_010365	连续刺击敌人给予伤害。连续刺击越多，对敌人造成的伤害会增加。{nl}{#00113F}当套用[龙骑士头盔]或[开始]BUFF时，最大打击次数增加 3次。{/}	적을 연속으로 찔러 피해를 줍니다. 연속으로 찌를수록 적에게 주는 대미지가 증가합니다.{nl}{#00113F}[드라군 헬멧] 또는 [개시] 버프가 적용중일 경우, 최대 타격 횟수가 3회 증가합니다.{/}	
SKILL_20200128_012366	强力刺击敌人给予伤害，会套用敌人体型越大会产生连打红利的效果。{nl}{#005060}当套用[龙骑士头盔]或[开始]BUFF时，贯穿击技能的连打数增加1次。{/}	적을 강하게 찔러 피해를 줍니다. 적의 크기가 클수록 연타 보너스가 적용 됩니다.{nl}{#005060}[드라군 헬멧] 또는 [개시] 버프가 적용중일 경우, 피어스 스킬의 연타 수가 1회 증가합니다.{/}	SKILL_20190820_010366	强力刺击敌人给予伤害，敌人体型越大会产生连打红利的效果。{nl}{#00113F}当套用[龙骑士头盔]或[开始]BUFF时，贯穿击技能的连打次数增加 1次。{/}	적을 강하게 찔러 피해를 줍니다. 적의 크기가 클수록 연타 보너스가 적용 됩니다.{nl}{#00113F}[드라군 헬멧] 또는 [개시] 버프가 적용중일 경우, 피어스 스킬의 연타 수가 1회 증가합니다.{/}	
SKILL_20200128_012367	使枪刃暂时变得锋利。用枪攻击敌人并发生暴击时，立即增加对敌人造成的最终伤害。	일시적으로 창 끝을 날카롭게 합니다. 창으로 적을 공격하여 치명타가 발생했을 때 적에게 주는 최종 대미지가 실시간으로 증가합니다.	SKILL_20190513_009679	暂时让枪的尖端变得锐利，利用枪攻击敌人，在发生暴击时会增加给敌人的最终伤害。	일시적으로 창 끝을 날카롭게 합니다. 창으로 적을 공격하여 치명타가 발생했을 때 적에게 주는 최종 대미지가 증가합니다.	
SKILL_20200128_012368	拿著盾牌推著敌人跑。邻近的敌人会被盾牌撞倒。盾牌衝锋中格挡和物理防御力增加。{nl}{#005060}套用疾奔BUFF时，被攻击的敌人移动速度会减慢。{/}	방패를 들고 적을 밀면서 달립니다. 근접한 적은 방패에 부딪혀 넘어집니다. 실드 차지 중 블록과 물리 방어력이 증가합니다.{nl}{#005060}스프린트 버프가 적용중 일 경우 피격된 적은 이동속도가 감소합니다.{/}	SKILL_20190110_007242	拿著盾牌推著敌人跑。邻近的敌人会被盾牌撞倒。盾牌衝锋中格挡和物理防御力增加。{nl}{#00113F}套用疾奔BUFF时，被攻击的敌人移动速度会减慢。{/}	방패를 들고 적을 밀면서 달립니다. 근접한 적은 방패에 부딪혀 넘어집니다. 실드 차지 중 블록과 물리 방어력이 증가합니다.{nl}{#00113F}스프린트 버프가 적용중 일 경우 피격된 적은 이동속도가 감소합니다.{/}	
SKILL_20200128_012369	用盾牌妨碍敌人的行动，对方会陷入失衡Debuff，陷入失衡Debuff的敌人被攻击时，以一定机率被击倒，同时物理防御力减少，攻击敌后方时，伤害会增加。{nl}陷入失衡Debuff的敌人不能使用基本攻击和技能。	방패로 적의 행동을 방해합니다. 대상은 언밸런스 디버프에 걸립니다. 언밸런스 디버프에 걸린 적은 피격 시 일정 확률로 넉다운되고, 물리 방어력이 감소합니다. 적 후방을 공격 시 대미지가 증가합니다.{nl}언밸런스 디버프에 걸린 적은 기본 공격과 스킬 사용이 불가능합니다.	SKILL_20191107_012310	用盾牌妨碍敌人的行动，对方会陷入失衡Debuff，陷入失衡Debuff的敌人被攻击时，以一定机率被击倒，同时物理防御力减少，攻击敌后方时，伤害会增加。{nl}陷入失衡Debuff的敌人不能使用技能。	방패로 적의 행동을 방해합니다. 대상은 언밸런스 디버프에 걸립니다. 언밸런스 디버프에 걸린 적은 피격 시 일정 확률로 넉다운되고, 물리 방어력이 감소합니다. 적 후방을 공격 시 대미지가 증가합니다.{nl}언밸런스 디버프에 걸린 적은 스킬 사용이 불가능합니다.	
SKILL_20200128_012370	技能係数 #{SkillFactor}#%{nl}防御力减少 #{CaptionRatio}#%{nl}敌后方伤害增加 100%{nl}{#339999}{ol}[失衡]{/}{/} 持续时间 5秒{nl}防御力减少持续时间 10秒	스킬 계수 #{SkillFactor}#%{nl}방어력 #{CaptionRatio}#% 감소{nl}적 후방 대미지 100% 증가{nl}{#339999}{ol}[언밸런스]{/}{/} 지속시간 5초{nl}방어력 감소 지속시간 10초	SKILL_20190110_007249	技能係数 #{SkillFactor}#%{nl}防御力减少 #{CaptionRatio}#%{nl}敌人后方伤害增加100%{nl}{#339999}{ol}[失衡]{/}{/} 持续时间10秒	스킬 계수 #{SkillFactor}#%{nl}방어력 #{CaptionRatio}#% 감소{nl}적 후방 대미지 100% 증가{nl}{#339999}{ol}[언밸런스]{/}{/} 지속시간 10초	
SKILL_20200128_012371	按住按键时，会压低姿势向前方前进，迴避移动中不会被推挤或倒下，同时会增加格挡，减少从敌人那裡所受到的伤害和迴避，移动结束后会攻击敌人。{nl}{#005060}套用疾奔BUFF时，迴避移动的移动速度减少量会减为一半，被攻击的敌人会向后看。{/}	키를 누르고 있는 동안 자세를 낮추고 전방으로 전진합니다. 회피이동 중 밀리거나 넘어지지 않으며, 블록이 증가하고 적에게 받는 피해와 회피가 감소합니다. 이동이 끝난 직후 적을 공격합니다.{nl}{#005060}스프린트 버프가 적용중 인 경우 회피이동의 이동속도 감소량이 절반으로 줄어들고, 피격된 적은 뒤로 돌아봅니다.{/}	SKILL_20190110_007250	按住按键时，会压低姿势向前方前进，迴避移动中不会被推挤或倒下，同时会增加格挡，减少从敌人那裡所受到的伤害和迴避，移动结束后会攻击敌人。{nl}{#00113F}套用疾奔BUFF时，迴避移动的移动速度减少量会减为一半，被攻击的敌人会向后看。{/}	키를 누르고 있는 동안 자세를 낮추고 전방으로 전진합니다. 회피이동 중 밀리거나 넘어지지 않으며, 블록이 증가하고 적에게 받는 피해와 회피가 감소합니다. 이동이 끝난 직후 적을 공격합니다.{nl}{#00113F}스프린트 버프가 적용중 인 경우 회피이동의 이동속도 감소량이 절반으로 줄어들고, 피격된 적은 뒤로 돌아봅니다.{/}	
SKILL_20200128_012372	将小型、中型怪物贯穿插在枪上，被贯插穿的敌人之物理、魔法防御力会减少，不可迴避和格挡，同时可利用被贯插穿的敌人攻击其他敌人，将被贯插的敌人向下刺时，会无条件产生暴击。{nl}{#005060}当尖矛BUFF套用中时，攻击次数会增加2次。{/}	소형, 중형 몬스터를 창에 관통시켜 꽂고 다닙니다. 꽂힌 적은 물리, 마법 방어력이 감소하며 회피와 블록이 불가능합니다. 꽂힌 적을 이용하여 다른 적을 공격할 수 있고, 꽂힌 적을 내려 찍을 때 무조건 치명타가 발생합니다.{nl}{#005060}샤프 스피어 버프가 적용중 일 경우 공격 횟수가 2회 증가합니다.{/}	SKILL_20191029_010510	将小型、中型怪物贯穿插在枪上，被贯插穿的敌人之物理、魔法防御力会减少，不可迴避和格挡，同时可利用被贯插穿的敌人攻击其他敌人，将被贯插的敌人向下刺时，会无条件产生暴击。{nl}{#00113F}当尖矛BUFF套用中时，攻击次数会增加2次。{/}	소형, 중형 몬스터를 창에 관통시켜 꽂고 다닙니다. 꽂힌 적은 물리, 마법 방어력이 감소하며 회피와 블록이 불가능합니다. 꽂힌 적을 이용하여 다른 적을 공격할 수 있고, 꽂힌 적을 내려 찍을 때 무조건 치명타가 발생합니다.{nl}{#00113F}샤프 스피어 버프가 적용중 일 경우 공격 횟수가 2회 증가합니다.{/}	
SKILL_20200128_012373	利用离心力迅速迴转，给予敌人连续伤害。{nl}{#005060}当狂怒BUFF叠加10以上套用时，旋风斩结束后会让在该位置上的敌人于3秒内受到伤害。{/}	원심력을 이용해 빠르게 회전하면서 적들에게 연속적으로 피해를 줍니다.{nl}{#005060}프렌지 버프가 10중첩 이상 적용중 일 경우, 사이클론이 끝난 뒤 해당 위치에 있는 적은 3초간 피해를 입습니다.{/}	SKILL_20190110_007277	利用离心力迅速迴转，给予敌人们连续伤害。{nl}{#00113F}当狂怒BUFF叠加10以上套用时，旋风斩结束后在该位置上的敌人会于3秒内受到伤害。{/}	원심력을 이용해 빠르게 회전하면서 적들에게 연속적으로 피해를 줍니다.{nl}{#00113F}프렌지 버프가 10중첩 이상 적용중 일 경우, 사이클론이 끝난 뒤 해당 위치에 있는 적은 3초간 피해를 입습니다.{/}	
SKILL_20200128_012374	向前方迅速移动进行攻击，被攻击方暴击抵抗会减少。{nl}{#005060}如果有滑行迴避技能，使用迅猛刺击后，滑行迴避技能的冷却时间会重置。{/}	전방을 향해 빠르게 이동해 공격합니다. 공격당한 적은 치명타 저항이 감소합니다.{nl}{#005060}백 슬라이드 스킬이 있다면, 발레스트라 팡트 사용 후 백 슬라이드 스킬의 재사용 대기시간이 초기화 됩니다.{/}	SKILL_20190110_007302	向前方迅速移动进行攻击，被攻击方暴击抵抗会减少。{nl}{#00113F}如果有滑行迴避技能，使用迅猛刺击后，滑行迴避技能的冷却时间会重置。{/}	전방을 향해 빠르게 이동해 공격합니다. 공격당한 적은 치명타 저항이 감소합니다.{nl}{#00113F}백 슬라이드 스킬이 있다면, 발레스트라 팡트 사용 후 백 슬라이드 스킬의 재사용 대기시간이 초기화 됩니다.{/}	
SKILL_20200128_012375	採取弱化穿戴中盾牌物理防御力并提升刺击攻击暴击伤害威力增强的姿势。{nl}{#005060}在所转职的职业中，有圆盾剑士的情形，盾牌的物理防御力不会发生无效化。{/}	장착한 방패의 물리 방어력을 무력화 하는 대신 찌르기 공격 시 치명타의 위력이 강해지도록 자세를 취합니다.{nl}{#005060}전직한 클래스 중 로델레로가 있을 경우 방패의 물리 방어력이 무력화되지 않습니다.{/}	SKILL_20190820_010372	採取弱化穿戴中盾牌物理防御力并提升刺击攻击暴击伤害威力增强的姿势。{nl}{#00113F}在所转职的职业中，有圆盾剑士的情形，盾牌的物理防御力不会发生无效化。{/}	장착한 방패의 물리 방어력을 무력화 하는 대신 찌르기 공격 시 치명타의 위력이 강해지도록 자세를 취합니다.{nl}{#00113F}전직한 클래스 중 로델레로가 있을 경우 방패의 물리 방어력이 무력화되지 않습니다.{/}	
SKILL_20200128_012376	用细剑展开刺击时，{nl}暴击时最终伤害增加 #{CaptionRatio}#% {nl}每5秒减少 SP30	레이피어로 찌르기 공격시{nl}치명타 시 최종 대미지 #{CaptionRatio}#% 증가{nl}5초당 SP30 감소	SKILL_20191029_010516	以细剑攻击时，{nl}当产生暴击时最终伤害增加 #{CaptionRatio}#%{nl}每5秒SP减少30。	레이피어로 공격시{nl}치명타 시 최종 대미지 #{CaptionRatio}#% 증가{nl}5초당 SP30 감소	
SKILL_20200128_012377	配戴御玺头具准备战斗。活用盾牌的攻击技能伤害会增加 50%，状态异常抗性提升50%，移动速度减少5。在配戴头具的状态，再次使用或骑乘座骑时会脱下头具。{nl}(无法使用自动武器位置互换。)。在配戴头具的状态，再次使用或骑乘座骑就会脱下头具。{nl}(无法使用自动武器位置互换。)	어인형 투구를 착용하여 전투를 준비합니다. 방패를 활용한 공격 스킬의 대미지가 50% 증가하고, 상태이상 저항력이 50% 상승하고, 이동속도가 5 감소합니다. 투구를 착용한 상태에서 다시 사용하거나 컴패니언에 탑승하면 투구를 벗습니다.{nl}(자동 무기 스왑으로 스킬을 사용할 수 없습니다.)	SKILL_20190513_009687	配戴御玺头具准备战斗，运用盾牌的攻击技能的伤害增加 50%，状态异常扺抗力提升50%，移动速度减少5。在配戴头具状态，再次使用或是骑乘宠物就会脱下头具。{nl}(不能自动武器位置互换。)	어인형 투구를 착용하여 전투를 준비합니다. 방패를 활용한 공격 스킬의 대미지가 50% 증가하고, 상태이상 저항력이 50% 상승하고, 이동속도가 5 감소합니다. 투구를 착용한 상태에서 다시 사용하거나 컴패니언에 탑승하면 투구를 벗습니다.{nl}(자동 무기 스왑이 불가능합니다.)	
SKILL_20200128_012378	用头撞击对方给予伤害并让敌人转过身去。遭到攻击的敌人会以一定机率进入昏厥状态，对昏厥状态的敌人使用时，会给予追加伤害。{nl}{#005060}龙骑士头盔配戴中时，头击的属性会由打击变更为刺击。{/}	상대를 머리로 들이받아 피해를 주면서 적을 뒤돌게 합니다. 공격당한 적은 일정 확률로 스턴 상태가 되며, 스턴 상태인 적에게 사용 시 추가대미지를 줍니다.{nl}{#005060}드라군 헬멧이 적용 중 이면, 헤드버트의 속성이 때리기에서 찌르기로 변경됩니다.{/}	SKILL_20190110_007315	用头撞击对方给予伤害，被让敌人转过身。遭到攻击的敌人会以一定机率进入昏厥状态，对昏厥状态的敌人使用时，会给予追加伤害。{nl}{#00113F}龙骑士头盔配戴中的情形，头击的属性会由打击变更为刺击。{/}	상대를 머리로 들이받아 피해를 주면서 적을 뒤돌게 합니다. 공격당한 적은 일정 확률로 스턴 상태가 되며, 스턴 상태인 적에게 사용 시 추가대미지를 줍니다.{nl}{#00113F}드라군 헬멧이 적용 중 이면, 헤드버트의 속성이 때리기에서 찌르기로 변경됩니다.{/}	
SKILL_20200128_012379	技能係数 #{SkillFactor}#% x 6次{nl}暴击时最终伤害增加 10%{nl}施法时间 0.5秒	스킬 계수 #{SkillFactor}#% x 6회{nl}치명타 시 최종 대미지 10% 증가{nl}캐스팅 시간 0.5초	SKILL_20190820_010375	技能係数 #{SkillFactor}#% x 6次{nl}暴击时最终伤害增加 10%。	스킬 계수 #{SkillFactor}#% x 6회{nl}치명타 시 최종 대미지 10% 증가	
SKILL_20200128_012380	技能係数 #{SkillFactor}#% x 3次{nl}施法时间 1秒	스킬 계수 #{SkillFactor}#% x 3회{nl}캐스팅 시간 1초	SKILL_20191029_010519	技能係数 #{SkillFactor}#% x 3次	스킬 계수 #{SkillFactor}#% x 3회	
SKILL_20200128_012381	呼唤马匹骑乘，移动速度增加并套用苦痛屏障状态。骑乘其他宠物的状态下无法骑马。{nl}骑马状态下可使用敲盾挑衅，并可套用圣殿骑士的不可侵犯的领域、加速指令、战斗命令、飘扬的旗帜等技能附加效果。{nl}在骑乘中时，于领地战上会套用佔领分数红利。{nl}{#005060}硬盾Buff中的情形，硬盾的持续时间会无限持续。如解除骑乘状态，硬盾Buff也会解除。{/}{nl}(无法使用自动武器位置互换。){nl}只可使用圣殿骑士的技能和敲盾挑衅。	말을 호출하여 탑승합니다. 이동속도가 증가하고 페인 배리어 상태가 적용됩니다. 다른 컴패니언에 탑승중일 때는 승마를 사용할 수 없습니다.{nl}승마 중일 때 스워시 버클링이 가능하며, 템플러의 불가침 영역, 어드밴스드 오더스, 배틀 오더스, 플라잉 컬러즈 스킬에 부가효과가 적용됩니다.{nl}승마 중일 때 콜로니전에서 점령 포인트 보너스가 적용됩니다.{nl}{#005060}하드 실드 버프가 적용 중이면, 하드 실드의 지속시간이 무한으로 지속됩니다. 승마 상태를 해제하면 하드 실드 버프도 해제됩니다.{/}{nl}(자동 무기 스왑으로 스킬을 사용할 수 없습니다.){nl}템플러의 스킬과 스워시 버클링만 사용 가능 합니다.	SKILL_20190820_010379	呼唤马匹骑乘。移动速度增加，并套用苦痛屏障状态。骑乘其他宠物的状态下无法骑马。{nl}骑马状态下可使用敲盾挑衅，并可套用加速指令、战斗命令、飘扬的旗帜技能附加效果。{nl}在骑乘中的情形，在领地战上会套用佔领分数红利。{nl}{#00113F}硬盾Buff中的情形，硬盾的持续时间会以无限持续。如果解除骑乘状态，硬盾Buff也会解除。{/}{nl}(无法使用自动武器位置互换来施放技能。){nl}只能使用圣殿骑士技能和敲盾挑衅。	말을 호출하여 탑승합니다. 이동속도가 증가하고 페인 배리어 상태가 적용됩니다. 다른 컴패니언에 탑승중일 때는 승마를 사용할 수 없습니다.{nl}승마 중일 때 스워시 버클링이 가능하며, 템플러의 불가침 영역, 어드밴스드 오더스, 배틀 오더스, 플라잉 컬러즈 스킬에 부가효과가 적용됩니다.{nl}승마 중일 때 콜로니전에서 점령 포인트 보너스가 적용됩니다.{nl}{#00113F}하드 실드 버프가 적용 중이면, 하드 실드의 지속시간이 무한으로 지속됩니다. 승마 상태를 해제하면 하드 실드 버프도 해제됩니다.{/}{nl}(자동 무기 스왑으로 스킬을 사용할 수 없습니다.){nl}템플러의 스킬과 스워시 버클링만 사용 가능 합니다.	
SKILL_20200128_012382	用细剑连续攻击前方敌人。 攻击次数与技能等级成正比。对大型敌人伤害增加20%。如对被施展[Seed red]Debuff的敌人使用时会产生暴击。	레이피어로 전방의 적에게 연속 공격을 가합니다. 공격 횟수는 스킬 레벨에 비례합니다. 대형 적에게는 대미지가 20% 증가합니다. [씨레드] 디버프에 걸린 적에게 사용하면 치명타가 발생합니다.	SKILL_20190110_007382	用细剑连续攻击前方敌人。 攻击次数与技能等级成正比。对大型敌人伤害增加20%。	레이피어로 전방의 적에게 연속 공격을 가합니다. 공격 횟수는 스킬 레벨에 비례합니다. 대형 적에게는 대미지가 20% 증가합니다.	
SKILL_20200128_012383	摆动披风吸引周围的注意力并增加暴击率。当敌人对自己的威胁度达到上限时，暴击率增加2倍。{nl}当已达到自己的威胁度上限时，将不会再提升威胁度。	망토를 펄럭이며 대상의 이목을 집중시킵니다. 치명타 발생이 증가하며 적이 자신에게 가진 위협도가 최대일 경우 치명타 발생이 2배 증가합니다.{nl}이미 자신이 가진 위협도가 최대일 경우 위협도는 오르지 않습니다.	SKILL_20190110_007384	摆动披风吸引周围的注意力，增加暴击率。当敌人对自己的威胁度达到上限时，暴击率增加2倍。	망토를 펄럭이며 주변의 이목을 집중시킵니다. 치명타 발생이 증가하며 적이 자신에게 가진 위협도가 최대일 경우 치명타 발생이 2배 증가합니다.	
SKILL_20200128_012384	用长枪连续刺击二次，挥舞长枪给予连续的伤害，最后一击让对象浮在空中。如果对象处于手抛网Debuff、铁钩、捕缚状态时，会套用已增加的暴击率并且无法迴避。	창으로 두 차례 연속해서 찌르고 창을 휘저어 연속적인 대미지를 줍니다. 마지막 타격에는 대상을 공중으로 띄웁니다. 대상이 투망 디버프, 아이언 후크, 포박 상태라면 증가된 치명타 발생이 적용되고 회피할 수 없습니다.	SKILL_20190820_010383	用长枪连续刺击二次，挥舞长枪给予砍击伤害，最后一击让对象浮在空中。如果对象处于手抛网Debuff、铁钩、捕缚状态时，会套用已增加的暴击率，并且无法迴避。	창으로 두 차례 연속해서 찌르고 창을 휘저어 베기 대미지를 줍니다. 마지막 타격에는 대상을 공중으로 띄웁니다. 대상이 투망 디버프, 아이언 후크, 포박 상태라면 증가된 치명타 발생이 적용되고 회피할 수 없습니다.	
SKILL_20200128_012385	连续攻击敌人上方，使之陷入[昏厥]状态。{nl}{#005060}正套用狂怒Buff时，破颅斩的攻击范围将变大，昏厥的持续时间变更为4秒。{/}	적의 상단을 연속으로 공격해 [스턴] 상태에 빠트립니다.{nl}{#005060}프렌지 버프가 적용 중일 경우 헬름 쵸퍼의 공격 범위가 커지고, 스턴의 지속시간이 4초로 변경됩니다.{/}	SKILL_20191029_010539	连续攻击敌人上方，使之陷入[昏厥]状态。{nl}{#00113F}正套用狂怒Buff时，破颅斩的攻击范围将变大，昏厥的持续时间变更为4秒。{/}	적의 상단을 연속으로 공격해 [스턴] 상태에 빠트립니다.{nl}{#00113F}프렌지 버프가 적용 중일 경우 헬름 쵸퍼의 공격 범위가 커지고, 스턴의 지속시간이 4초로 변경됩니다.{/}	
SKILL_20200128_012386	开花	개화	
SKILL_20200128_012387	对敌人施展[开花]Debuff，当被梅花侠客的技能或斩击属性技能击中时，会叠加[开花]层数，被施展[开花]的敌人随著叠加的层数，除了落花的梅花侠客技能之外，会套用额外的伤害。	적에게 [개화] 디버프를 걸어 매화검수 스킬 또는 베기 속성 스킬에 적중할 때마다 [개화]가 중첩됩니다. [개화]에 걸린 적은 중첩수에 따라 낙화를 제외한 매화검수 스킬에 추가 대미지가 적용됩니다.	
SKILL_20200128_012388	每一叠加梅花侠客技能伤害增加 #{CaptionRatio}#% {nl}套用对象数量 #{CaptionRatio2}#{nl}持续时间 #{CaptionTime}#秒	중첩당 매화검수 스킬 대미지 #{CaptionRatio}#% 증가{nl}적용 대상 수 #{CaptionRatio2}#{nl}지속시간 #{CaptionTime}#초	
SKILL_20200128_012389	落花	낙화	
SKILL_20200128_012390	瞬间移动至周遭被施展[开花]Debuff最近的敌人旁边并给予伤害。被落花击中的敌人依叠加数会套用连击数并清除[开花]Debuff，当开花Debuff叠加至5时，会让敌人于 5秒内减少移动速度。	주변에 [개화] 디버프가 걸린 제일 가까운 적에게 순간적으로 이동하여 대미지를 줍니다. 낙화에 피격된 적은 중첩수에 따라 연타 수가 적용되며 [개화] 디버프가 지워집니다. 개화 디버프가 5중첩일 때, 적의 이동속도를 5초간 감소시킵니다.	
SKILL_20200128_012391	御剑术	어검술	
SKILL_20200128_012392	在背后召唤多把梅花剑攻击目标敌人。	등 뒤에 여러 개의 매화검이 소환되어, 타겟된 적을 공격합니다.	
SKILL_20200128_012393	一闪	일섬	
SKILL_20200128_012394	向前方突进并快速刺击路径上的敌人。	전방으로 돌진하면서 경로상의 적들을 빠르게 찌릅니다.	
SKILL_20200128_012395	梅花斩击	매화 베기	
SKILL_20200128_012396	隐蔽身躯对单一对象进行多次快速斩击并出现在对象前面，攻击中呈现无敌状态。	모습을 감춰 단일 대상을 여러번 빠르게 베어버리고 상대 앞에 나타납니다. 공격 중에는 무적상태가 됩니다.	
SKILL_20200128_012397	起手式	기수식	
SKILL_20200128_012398	使用起手式时，所受的伤害会减少 50%，完成起手式时，依照蓄气的时间会让暴击的威力暂时提升，但当施展起手式的过程中如受到一定以上的伤害时，起手式会被取消并对自己产生惩罚。(昏厥 2秒, HP减少 30%)	기수식을 하는 동안에는 받는 피해가 50% 감소되어 적용되고, 기수식을 완료 했을 때 차징 시간 비율에 따라 일시적으로 치명타의 위력이 증가합니다. 단, 기수식 도중에 일정 이상의 피해를 받으면 기수식이 취소되고 자신에게 페널티가 발생합니다.(스턴 2초, HP 30% 감소)	
SKILL_20200128_012399	暴击时最终伤害最大增加 #{CaptionRatio}#% {nl}Buff持续时间 #{CaptionTime}#秒{nl}最大持续时间 2秒	치명타 시 최종 대미지 최대 #{CaptionRatio}#% 증가{nl}버프 지속시간 #{CaptionTime}#초{nl}최대 지속시간 2초	
SKILL_20200128_012400	所受的伤害减少 #{CaptionRatio}#% {nl}持续时间 #{CaptionRatio2}#分钟 {nl}每次防御时消耗最大SP的 #{CaptionRatio3}#% {nl}特性秘法爆发每 1秒SP消耗量 : #{CaptionTime}#	받는 피해 #{CaptionRatio}#% 감소{nl}지속시간 #{CaptionRatio2}#분{nl}방어할 때 마다 최대 SP의 #{CaptionRatio3}#% 소모{nl}특성 아케인 익스플로션 1초당 SP 소모량 : #{CaptionTime}#	SKILL_20191029_010544	受到的伤害减少 #{CaptionRatio}#%{nl}持续时间 #{CaptionRatio2}#分{nl}每次防御时消耗最大SP的#{CaptionRatio3}#%	받는 피해 #{CaptionRatio}#% 감소{nl}지속시간 #{CaptionRatio2}#분{nl}방어할 때 마다 최대 SP의 #{CaptionRatio3}#% 소모	
SKILL_20200128_012401	技能係数 #{SkillFactor}#%{nl}广域攻击比率 #{SkillSR}#{nl}施法时间 0.5秒	스킬 계수 #{SkillFactor}#%{nl}광역 공격 비율 #{SkillSR}#{nl}캐스팅 시간 0.5초	SKILL_20190110_007439	技能係数 #{SkillFactor}#%{nl}持续时间 #{CaptionRatio}#秒	스킬 계수 #{SkillFactor}#%{nl}지속시간 #{CaptionRatio}#초	
SKILL_20200128_012402	在自己的攻击上暂时赋予火属性。{nl}对敌人进行能量箭、基本攻击时，追加发动火焰属性攻击。{nl}{#005060}当周遭有召唤兽时，也会对召唤兽套用火焰附魔。{/}	자신의 공격에 일시적으로 불 속성을 부여합니다.{nl}적에게 에너지 볼트, 기본 공격 시 화염 속성 추가 공격이 발동됩니다.{nl}{#005060}주변에 소환수가 있을 경우, 소환수에게도 인챈트 파이어가 적용됩니다.{/}	SKILL_20190110_007442	在自己的攻击上暂时赋予火属性。{nl}{#00113F}周围有召唤兽的情形时，也会对召唤兽套用火焰附魔。{/}	자신의 공격에 일시적으로 불 속성을 부여합니다.{nl}{#00113F}주변에 소환수가 있을 경우, 소환수에게도 인챈트 파이어가 적용됩니다.{/}	
SKILL_20200128_012403	火属性追加伤害增加 #{CaptionRatio2}# {nl}属性追加攻击 +#{CaptionRatio}#{nl}持续时间 30分钟	불 속성 추가 대미지 #{CaptionRatio2}# 증가{nl}속성 추가 공격 +#{CaptionRatio}#{nl}지속시간 30분	SKILL_20190513_009712	火属性追加伤害增加 #{CaptionRatio}#{nl}属性追加攻击 +#{CaptionRatio2}#{nl}持续时间30分	불 속성 추가 대미지 #{CaptionRatio}# 증가{nl}속성 추가 공격 +#{CaptionRatio2}#{nl}지속시간 30분	
