ITEM_20180327_000001	无 helmet	없음_helmet	
ITEM_20190425_018444	浓情巧克力矛枪	바삭바삭 초콜릿 스피어	
ITEM_20190425_018445	浓情巧克力双手钝器	바삭바삭 초콜릿 투 핸드 메이스	
ITEM_20190425_018446	浓情巧克力钝器	바삭바삭 초콜릿 메이스	
ITEM_20190425_018447	浓情巧克力法杖	바삭바삭 초콜릿 스태프	
ITEM_20190425_018448	浓情巧克力权杖	바삭바삭 초콜릿 로드	
ITEM_20190425_018449	浓情巧克力短弓	바삭바삭 초콜릿 보우	
ITEM_20190425_018450	浓情巧克力十字弓	바삭바삭 초콜릿 크로스보우	
ITEM_20190425_018451	浓情巧克力重砲	바삭바삭 초콜릿 캐논	
ITEM_20190425_018452	浓情巧克力火枪	바삭바삭 초콜릿 머스킷	
ITEM_20190425_018453	浓情巧克力手枪	바삭바삭 초콜릿 피스톨	
ITEM_20190425_018454	I Love TOS 套装(男)	I♥TOS 코스튬(남)	
ITEM_20190425_018455	纪念2019年植树节而制作的I Love TOS套装。穿戴时将改变外型。	2019년 식목일을 기념하여 제작된 I♥TOS 코스튬입니다. 착용하면 외형이 변경됩니다.	
ITEM_20190425_018456	I Love TOS 套装(女)	I♥TOS 코스튬(여)	
ITEM_20190425_018457	黄色小鸡蛋	병아리 뱁새 알	
ITEM_20190425_018458	点击右键可以直接使用，点击之后宠物就会自动登录。{nl} 宠物就算没有骑乘功能玩家也可以骑乘宠物。{nl} 玩家与宠物一起行动时，宠物可为玩家带来HP、SP恢复力提升效果。	마우스 오른쪽 클릭으로 사용가능하며, 사용시 바로 컴패니언으로 등록됩니다. {nl} 해당 컴패니언은 컴패니언 탑승 스킬이 없어도 탑승 가능합니다. {nl} 해당 컴패니언과 동행 시 캐릭터의 HP회복력과 SP회복력이 증가하는 버프를 얻습니다.{nl} 리사이클 메달로 교환 가능합니다.	
ITEM_20190503_018459	完成城堡地下城后获得的奖励。	캐슬 지하 던전을 클리어하여 받은 보상입니다.	ITEM_20180327_007359	完成圣堂地下城后获得的奖励。	성당 지하 던전을 클리어하여 받은 보상입니다.	
ITEM_20190503_018460	[活动]悠夏饲养的泥鳅	[이벤트]요하가 기른 미꾸라지	
ITEM_20190503_018461	用于钓鱼的特殊鱼饵。用作鱼饵时，可以各自不同的机率获得[活动]藏在池塘内的宝箱、银色鱼、小银色鱼。{nl}未使用的[活动]悠夏饲养的泥鳅将于活动结束时道具统一删除。	낚시에 사용하는 특별한 미끼입니다. 미끼로 사용할 경우 [이벤트]연못에 숨겨진 보물 상자, 은빛 물고기, 작은 은빛 물고기를 각기 다른 확률로 획득 할 수 있습니다.{nl}사용하지 않은 [이벤트]요하가 기른 미꾸라지는 3/28(목) 점검 시, 	
ITEM_20190503_018462	特性点数5(14天)	특성 포인트 5(14일)	
ITEM_20190503_018463	 道具变更。  	 아이템으로 변경됩니다.   	
ITEM_20190503_018464	[活动]普通米饭饵(1天)	[이벤트]보급형 떡밥(1일)	
ITEM_20190503_018465	[活动]钓鱼营火(1天)	[이벤트]낚시 모닥불(1일)	
ITEM_20190503_018466	[活动]藏在池塘内的宝箱	[이벤트]연못에 숨겨진 보물 상자	
ITEM_20190503_018467	点击滑鼠右键即可使用。使用时可获得宝箱内道具中的一种。{nl} - 特性点数 100(14天) x2{nl} - 魔法赋予卷轴(14天) x1{nl} - 强化用卡片：500(14天) x1{nl} - 5星宝石研磨剂(14天){nl} - 觉醒石(14天) x1{nl} - 执事与女僕套装宝箱(黑色) x1{nl}活动时道具统一删除。	마우스 우클릭으로 사용할 수 있습니다. 사용 시 상자의 내용물 중 하나를 획득할 수 있습니다.{nl} - 특성 포인트 100(14일) x2{nl} - 마법 부여 스크롤(14일) x1{nl} - 강화용 카드 : 500 (14일) x1{nl} - 5성 젬 연마제(14일) x1{nl} - 프리미엄 각성석(14일) x1{nl} - 버틀러와 메이드 코스튬 상자(블랙) x1{nl}3/28(목) 점검 시, 일괄 삭제됩니다.	
ITEM_20190513_018468	人马座太空人面罩	알파 센타우리 우주 비행사 헬멧	
ITEM_20190513_018469	据说是穿越星空的遥远路途必须的太空人面罩。{nl}穿戴时将改变外型。	머나먼 세계, 저 너머로 여행을 하기 위해 필요하다고 전해지는 우주 비행사 헬멧입니다.{nl}착용하면 외형이 변경 됩니다.	
ITEM_20190513_018470	雷格巴剑	레그바 소드	
ITEM_20190513_018471	以单手剑来说，剑身看起来有点短。但中间凹陷进去、一分为二的剑身能在敌人身上留下很深的伤口。	한손검으로 보기에는 검날이 짧아 보이지만, 움푹 패어 양쪽으로 갈라져 있는 검날 덕분에 적에게 깊은 상처를 남길 수 있습니다.	
ITEM_20190513_018472	贝尔塔斯雷格巴剑	베르타스 레그바 소드	
ITEM_20190513_018473	普利摩斯雷格巴剑	프리머스 레그바 소드	
ITEM_20190513_018474	赛必诺斯雷格巴剑	세비노스 레그바 소드	
ITEM_20190513_018475	雷格巴双手剑	레그바 투 핸드 소드	
ITEM_20190513_018476	华丽而沉重，性能卓越的剑。但剑柄的地方非常厚重，握起来会有点吃力。	화려함과 투박함을 동시에 지녔고, 성능은 우월한 검입니다. 단, 손잡이가 상당히 두꺼워서 들기 힘들 수 있습니다.	
ITEM_20190513_018477	贝尔塔斯雷格巴双手剑	베르타스 레그바 투 핸드 소드	
ITEM_20190513_018478	普利摩斯雷格巴双手剑	프리머스 레그바 투 핸드 소드	
ITEM_20190513_018479	赛必诺斯雷格巴双手剑	세비노스 레그바 투 핸드 소드	
ITEM_20190513_018480	雷格巴权杖	레그바 로드	
ITEM_20190513_018481	操纵著具有强大魔力原石的魔杖。原石的来源并不清楚，不过看起来是从尼柯波尔利斯萃取而来的。	강력한 마력의 힘을 지닌 원석을 제어한 지팡이입니다. 원석의 출처는 정확히 알 수 없지만, 니코폴리스에서 추출된 것으로 보입니다.	
ITEM_20190513_018482	贝尔塔斯雷格巴权杖	베르타스 레그바 로드	
ITEM_20190513_018483	普利摩斯雷格巴权杖	프리머스 레그바 로드	
ITEM_20190513_018484	赛必诺斯雷格巴权杖	세비노스 레그바 로드	
ITEM_20190513_018485	雷格巴短弓	레그바 보우	
ITEM_20190513_018486	用生长在帕里亚斯森林的树木制成弓身，弹力极佳，在远处的目标也能轻易射穿。	파리아스 숲에서 자라나는 나무를 활대로 쓴 이 활은 탄력성이 매우 좋아 멀리 있는 표적도 단숨에 꿰뚫어 버립니다.	
ITEM_20190513_018487	贝尔塔斯雷格巴短弓	베르타스 레그바 보우	
ITEM_20190513_018488	普利摩斯雷格巴短弓	프리머스 레그바 보우	
ITEM_20190513_018489	赛必诺斯雷格巴短弓	세비노스 레그바 보우	
ITEM_20190513_018490	雷格巴十字弓	레그바 크로스보우	
ITEM_20190513_018491	贝尔塔斯雷格巴十字弓	베르타스 레그바 크로스보우	
ITEM_20190513_018492	普利摩斯雷格巴十字弓	프리머스 레그바 크로스보우	
ITEM_20190513_018493	赛必诺斯雷格巴十字弓	세비노스 레그바 크로스보우	
ITEM_20190513_018494	雷格巴钝器	레그바 메이스	
ITEM_20190513_018495	用森林中可取得的材料制成，耐久度和威力都相当优秀的钝器。	숲에서 얻을 수 있는 재료로 만들어졌지만 내구성, 위력은 상당한 메이스입니다.	
ITEM_20190513_018496	贝尔塔斯雷格巴钝器	베르타스 레그바 메이스	
ITEM_20190513_018497	普利摩斯雷格巴钝器	프리머스 레그바 메이스	
ITEM_20190513_018498	赛必诺斯雷格巴钝器	세비노스 레그바 메이스	
ITEM_20190513_018499	雷格巴双手钝器	레그바 투 핸드 메이스	
ITEM_20190513_018500	和王国军、教团祭司流行使用的钝器很类似。至于那种钝器会引起流行，说不定只是因为比雷格巴容易取得。	왕국군과 교단의 사제들 사이에서 유행하는 메이스와 유사하지만, 어쩌면 그것이 이 레그바 보다 상대적으로 구하기 쉽기 때문에 그럴지도 모릅니다.	
ITEM_20190513_018501	贝尔塔斯雷格巴双手钝器	베르타스 레그바 투 핸드 메이스	
ITEM_20190513_018502	普利摩斯雷格巴双手钝器	프리머스 레그바 투 핸드 메이스	
ITEM_20190513_018503	赛必诺斯雷格巴双手钝器	세비노스 레그바 투 핸드 메이스	
ITEM_20190513_018504	雷格巴盾牌	레그바 실드	
ITEM_20190513_018505	基本上是用木材制成的盾牌，因为在上面加了稀有的原石而非常坚固。当然，选用的木材也是很稀有的材料。	기본적으로 목재로 되어 있는 방패지만 구하기 힘든 원석을 가공하여 붙여 단단합니다. 물론 쓰인 목재 또한 구하기 힘든 소재입니다.	
ITEM_20190513_018506	贝尔塔斯雷格巴盾牌	베르타스 레그바 실드	
ITEM_20190513_018507	普利摩斯雷格巴盾牌	프리머스 레그바 실드	
ITEM_20190513_018508	赛必诺斯雷格巴盾牌	세비노스 레그바 실드	
ITEM_20190513_018509	雷格巴矛枪	레그바 스피어	
ITEM_20190513_018510	矛枪的外型看起来有某种象徵性，不过知晓这件事的人没有几个。	창의 생김새가 어떤 상징성을 지니고 있으나, 이를 아는 사람은 몇몇 없습니다.	
ITEM_20190513_018511	贝尔塔斯雷格巴矛枪	베르타스 레그바 스피어	
ITEM_20190513_018512	普利摩斯雷格巴矛枪	프리머스 레그바 스피어	
ITEM_20190513_018513	赛必诺斯雷格巴矛枪	세비노스 레그바 스피어	
ITEM_20190513_018514	雷格巴长枪	레그바 파이크	
ITEM_20190513_018515	贝尔塔斯雷格巴长枪	베르타스 레그바 파이크	
ITEM_20190513_018516	普利摩斯雷格巴长枪	프리머스 레그바 파이크	
ITEM_20190513_018517	赛必诺斯雷格巴长枪	세비노스 레그바 파이크	
ITEM_20190513_018518	雷格巴匕首	레그바 대거	
ITEM_20190513_018519	刻在中间的装饰就好像怪物的眼睛一样，这是这把匕首的标志。	가운데 새겨져 있는 장식이 마치 몬스터의 눈처럼 생긴것이 이 단검의 트레이드 마크입니다.	
ITEM_20190513_018520	贝尔塔斯雷格巴匕首	베르타스 레그바 대거	
ITEM_20190513_018521	普利摩斯雷格巴匕首	프리머스 레그바 대거	
ITEM_20190513_018522	赛必诺斯雷格巴匕首	세비노스 레그바 대거	
ITEM_20190513_018523	雷格巴法杖	레그바 스태프	
ITEM_20190513_018524	看起来很粗糙，却是用蕴含强大魔力的材料制成，常常成为正统魔法师觊觎的对象。	투박하게 생겼지만 강력한 마력의 힘을 지닌 소재로 만든 지팡이로 정통한 마법사들이 탐내곤 합니다 	
ITEM_20190513_018525	贝尔塔斯雷格巴法杖	베르타스 레그바 스태프	
ITEM_20190513_018526	普利摩斯雷格巴法杖	프리머스 레그바 스태프	
ITEM_20190513_018527	赛必诺斯雷格巴法杖	세비노스 레그바 스태프	
ITEM_20190513_018528	雷格巴手枪	레그바 피스톨	
ITEM_20190513_018529	外表精緻且实用，熟练的王国士兵们都想拥有一把。	생김새도 준수하지만 특히나 사용성이 좋아 숙련된 왕국 병사들이 가지고 싶어합니다.	
ITEM_20190513_018530	贝尔塔斯雷格巴手枪	베르타스 레그바 피스톨	
ITEM_20190513_018531	普利摩斯雷格巴手枪	프리머스 레그바 피스톨	
ITEM_20190513_018532	赛必诺斯雷格巴手枪	세비노스 레그바 피스톨	
ITEM_20190513_018533	雷格巴细剑	레그바 레이피어	
ITEM_20190513_018534	和朴实的外表不同，是一把剑身能轻易刺穿目标的细剑。	기본에 충실한 단순한 모양과는 달리, 찌른 표적을 간단하게 도려낼 수 있는 검날을 지닌 레이피어입니다. 	
ITEM_20190513_018535	贝尔塔斯雷格巴细剑	베르타스 레그바 레이피어	
ITEM_20190513_018536	普利摩斯雷格巴细剑	프리머스 레그바 레이피어	
ITEM_20190513_018537	赛必诺斯雷格巴细剑	세비노스 레그바 레이피어	
ITEM_20190513_018538	雷格巴重砲	레그바 캐논	
ITEM_20190513_018539	贝尔塔斯雷格巴重砲	베르타스 레그바 캐논	
ITEM_20190513_018540	普利摩斯雷格巴重砲	프리머스 레그바 캐논	
ITEM_20190513_018541	赛必诺斯雷格巴重砲	세비노스 레그바 캐논	
ITEM_20190513_018542	雷格巴火枪	레그바 머스킷	
ITEM_20190513_018543	贝尔塔斯雷格巴火枪	베르타스 레그바 머스킷	
ITEM_20190513_018544	普利摩斯雷格巴火枪	프리머스 레그바 머스킷	
ITEM_20190513_018545	赛必诺斯雷格巴火枪	세비노스 레그바 머스킷	
ITEM_20190513_018546	皮克林泰布甲	피그림테 로브	
ITEM_20190513_018547	主要是朝圣者们使用，设计还过得去。强调了长途跋涉所需的舒适感与实用性。	순례자들이 주로 사용하는 무난한 디자인입니다. 먼 길을 여행할 필요한 편안함과 실용성을 강조했습니다.	
ITEM_20190513_018548	彼梅札伊皮革盔甲	비메자이 레더 아머	
ITEM_20190513_018549	据说是用神树之日时反弹魔力的植物做成的。似乎可以用上面的尖刺刺伤攻击自己的敌人。	신수의 날 마력에 반응하는 식물을 이용하여 만들었다고 합니다. 가시를 이용하여 공격하는 적에게 피해를 줄 수 있을 것 같습니다.	
ITEM_20190513_018550	阿克魔钢铁盔甲	아크모 플레이트 아머	
ITEM_20190513_018551	坚固的材质能保护全身，不需要害怕敌人的攻击。	단단한 재질로 몸 전체를 보호합니다. 적의 공격을 두려워할 필요가 없습니다.	
ITEM_20190513_018552	贝尔塔斯皮克林泰布甲	베르타스 피그림테 로브	
ITEM_20190513_018553	主要是朝圣者们使用，设计还过得去。强调了长途跋涉所需的舒适感与实用性。	순례자들이 주로 사용하는 무난한 디자인입니다. 먼 길을 여행할 때 필요한 편안함과 실용성을 강조했습니다.	
ITEM_20190513_018554	贝尔塔斯彼梅札伊皮革盔甲	베르타스 비메자이 레더 아머	
ITEM_20190513_018555	贝尔塔斯阿克魔钢铁盔甲	베르타스 아크모 플레이트 아머	
ITEM_20190513_018556	普利摩斯皮克林泰布甲	프리머스 피그림테 로브	
ITEM_20190513_018557	普利摩斯彼梅札伊皮革盔甲	프리머스 비메자이 레더 아머	
ITEM_20190513_018558	普利摩斯阿克魔钢铁盔甲	프리머스 아크모 플레이트 아머	
ITEM_20190513_018559	赛必诺斯皮克林泰布甲	세비노스 피그림테 로브	
ITEM_20190513_018560	赛必诺斯彼梅札伊皮革盔甲	세비노스 비메자이 레더 아머	
ITEM_20190513_018561	赛必诺斯阿克魔钢铁盔甲	세비노스 아크모 플레이트 아머	
ITEM_20190513_018562	皮克林泰短裤	피그림테 팬츠	
ITEM_20190513_018563	彼梅札伊皮革短裤	비메자이 레더 팬츠	
ITEM_20190513_018564	阿克魔钢铁短裤	아크모 플레이트 팬츠	
ITEM_20190513_018565	贝尔塔斯皮克林泰短裤	베르타스 피그림테 팬츠	
ITEM_20190513_018566	贝尔塔斯彼梅札伊皮革短裤	베르타스 비메자이 레더 팬츠	
ITEM_20190513_018567	贝尔塔斯阿克魔钢铁短裤	베르타스 아크모 플레이트 팬츠	
ITEM_20190513_018568	普利摩斯皮克林泰短裤	프리머스 피그림테 팬츠	
ITEM_20190513_018569	普利摩斯彼梅札伊皮革短裤	프리머스 비메자이 레더 팬츠	
ITEM_20190513_018570	普利摩斯阿克魔钢铁短裤	프리머스 아크모 플레이트 팬츠	
ITEM_20190513_018571	赛必诺斯皮克林泰短裤	세비노스 피그림테 팬츠	
ITEM_20190513_018572	赛必诺斯彼梅札伊皮革短裤	세비노스 비메자이 레더 팬츠	
ITEM_20190513_018573	赛必诺斯阿克魔钢铁短裤	세비노스 아크모 플레이트 팬츠	
ITEM_20190513_018574	皮克林泰靴子	피그림테 부츠	
ITEM_20190513_018575	彼梅札伊皮革靴子	비메자이 레더 부츠	
ITEM_20190513_018576	阿克魔护胫靴	아크모 그리브	
ITEM_20190513_018577	贝尔塔斯皮克林泰靴子	베르타스 피그림테 부츠	
ITEM_20190513_018578	贝尔塔斯彼梅札伊皮革靴子	베르타스 비메자이 레더 부츠	
ITEM_20190513_018579	贝尔塔斯阿克魔护胫靴	베르타스 아크모 그리브	
ITEM_20190513_018580	普利摩斯皮克林泰靴子	프리머스 피그림테 부츠	
ITEM_20190513_018581	普利摩斯彼梅札伊皮革靴子	프리머스 비메자이 레더 부츠	
ITEM_20190513_018582	普利摩斯阿克魔护胫靴	프리머스 아크모 그리브	
ITEM_20190513_018583	赛必诺斯皮克林泰靴子	세비노스 피그림테 부츠	
ITEM_20190513_018584	赛必诺斯彼梅札伊皮革靴子	세비노스 비메자이 레더 부츠	
ITEM_20190513_018585	赛必诺斯阿克魔护胫靴	세비노스 아크모 그리브	
ITEM_20190513_018586	皮克林泰手套	피그림테 글로브	
ITEM_20190513_018587	彼梅札伊皮革手套	비메자이 레더 글로브	
ITEM_20190513_018588	阿克魔护手套	아크모 건틀릿	
ITEM_20190513_018589	贝尔塔斯皮克林泰手套	베르타스 피그림테 글로브	
ITEM_20190513_018590	贝尔塔斯彼梅札伊皮革手套	베르타스 비메자이 레더 글로브	
ITEM_20190513_018591	贝尔塔斯阿克魔护手套	베르타스 아크모 건틀릿	
ITEM_20190513_018592	普利摩斯皮克林泰手套	프리머스 피그림테 글로브	
ITEM_20190513_018593	普利摩斯彼梅札伊皮革手套	프리머스 비메자이 레더 글로브	
ITEM_20190513_018594	普利摩斯阿克魔护手套	프리머스 아크모 건틀릿	
ITEM_20190513_018595	赛必诺斯皮克林泰手套	세비노스 피그림테 글로브	
ITEM_20190513_018596	赛必诺斯彼梅札伊皮革手套	세비노스 비메자이 레더 글로브	
ITEM_20190513_018597	赛必诺斯阿克魔护手套	세비노스 아크모 건틀릿	
ITEM_20190513_018598	白色情人节项鍊(物理)(14天)	화이트데이 목걸이 (물리)(14일)	ITEM_20180412_014581	白色情人节项鍊(物理)(7天)	화이트데이 목걸이 (물리)(7일)	
ITEM_20190513_018599	白色情人节的活动道具，和白色情人节手镯一起配戴可以获得组合效果。活动结束时道具统一删除。	화이트데이 이벤트 아이템입니다. 화이트데이 팔찌와 함께 착용하면 세트 효과를 얻습니다. 4월 4일 점검 시, 일괄 삭제됩니다.	
ITEM_20190513_018600	白色情人节项鍊(魔法)(14天)	화이트데이 목걸이 (마법)(14일)	ITEM_20180412_014583	白色情人节项鍊(魔法)(7天)	화이트데이 목걸이 (마법)(7일)	
ITEM_20190513_018601	[Episode11] 冒险家的项鍊(30天)	[Episode11] 모험가의 네클리스(30일)	
ITEM_20190513_018602	戴上这条项鍊，好像哪裡都可以去似的。	이 목걸이를 착용하면 어디든 갈 수 있을거 같다.	
ITEM_20190513_018603	 - 使用以下技能时{img green_up_arrow 16 16}攻击力增加50%{nl}   - 火球{nl}   - 火牆{nl}   - 火柱{nl}   - 地狱气息{nl}   - 烈焰大地{nl}   - 陨石{nl}   - 焚烧{nl}   - 红焰{nl}   - 燃烧{nl}   - 牺牲	 - 아래의 스킬 사용 시 {img green_up_arrow 16 16}50% 공격력 추가{nl}   - 파이어볼{nl}   - 파이어 월{nl}   - 파이어 필라{nl}   - 헬 브레쓰{nl}   - 플레임 그라운드{nl}   - 메테오{nl}   - 소각{nl}   - 홍염{nl}   - 컴버스천{nl}   - 이몰레이션	ITEM_20180528_015043	 - 施展下列技能时 {img green_up_arrow 16 16}追加50%攻击力{nl}  - 火球{nl}   - 火牆{nl}   - 烈焰{nl}   - 火柱{nl}   - 地狱气息{nl}   - 烈焰大地{nl}   - 陨石{nl}   - 焚烧{nl}   - 红焰{nl}   - 燃烧{nl}   - 牺牲	 - 아래의 스킬 사용 시 {img green_up_arrow 16 16}50% 공격력 추가{nl}   - 파이어볼{nl}   - 파이어 월{nl}   - 플레어{nl}   - 파이어 필라{nl}   - 헬 브레쓰{nl}   - 플레임 그라운드{nl}   - 메테오{nl}   - 소각{nl}   - 홍염{nl}   - 컴버스천{nl}   - 이몰레이션	
ITEM_20190513_018604	白色情人节手镯(物理)(14天)	화이트데이 팔찌 (물리)(14일)	ITEM_20180412_014597	白色情人节手镯(物理)(7天)	화이트데이 팔찌 (물리)(7일)	
ITEM_20190513_018605	白色情人节的活动道具。和白色情人节项鍊一起穿戴的话会获得套装效果。活动结束时道具统一删除。	화이트데이 이벤트 아이템입니다. 화이트데이 목걸이와 함께 착용하면 세트 효과를 얻습니다. 4월 4일 점검 시, 일괄 삭제됩니다.	
ITEM_20190513_018606	白色情人节手镯(魔法)(14天)	화이트데이 팔찌 (마법)(14일)	ITEM_20180412_014599	白色情人节手镯(魔法)(7天)	화이트데이 팔찌 (마법)(7일)	
ITEM_20190513_018607	[Episode11] 冒险家的手镯(30天)	[Episode11] 모험가의 브레이슬릿(30일)	
ITEM_20190513_018608	适合用愉快的心情戴著到处走。	가벼운 마음으로 착용하곧 돌아다니기 좋다.	
ITEM_20190513_018609	纪念白色情人节而发给各位救援者的爱心模样甜蜜糖果。	화이트데이를 기념하여 구원자 여러분께 드리는, 하트모양을 한 달콤한 사탕입니다	ITEM_20180327_005318	爱心模样的甜蜜糖果。{nl} 可以到回收商店用代币交换。	하트모양을 한 달콤한 사탕입니다.{nl} 리사이클샵에서 메달로 교환 가능합니다.	
ITEM_20190513_018610	[Episode11] 死亡魔女卡特短剑(30天)	[Episode11] 데스위버 커터 (30일)	ITEM_20190110_016991	[Re:Build] 死亡魔女卡特短剑(30天)	[Re:Build] 데스위버 커터 (30일)	
ITEM_20190513_018611	[Episode11] 死亡魔女利牙(30天)	[Episode11] 데스위버 투스 (30일)	ITEM_20190110_016992	[Re:Build] 死亡魔女利牙(30天)	[Re:Build] 데스위버 투스 (30일)	
ITEM_20190513_018612	[Episode11] 死亡魔女权杖(30天)	[Episode11] 데스위버 로드 (30일)	ITEM_20190110_016993	[Re:Build] 死亡魔女权杖(30天)	[Re:Build] 데스위버 로드 (30일)	
ITEM_20190513_018613	[Episode11] 梅利娜斯法杖(30天)	[Episode11] 멜리나스 스태프 (30일)	ITEM_20190110_016994	[Re:Build] 梅利娜斯法杖(30天)	[Re:Build] 멜리나스 스태프 (30일)	
ITEM_20190513_018614	[Episode11] 死亡魔女弓(30天)	[Episode11] 데스위버 보우 (30일)	ITEM_20190110_016995	[Re:Build] 死亡魔女弓(30天)	[Re:Build] 데스위버 보우 (30일)	
ITEM_20190513_018615	[Episode11] 死亡魔女十字弓(30天)	[Episode11] 데스위버 크로스보우 (30일)	ITEM_20190110_016996	[Re:Build] 死亡魔女十字弓(30天)	[Re:Build] 데스위버 크로스보우 (30일)	
ITEM_20190513_018616	[Episode11] 布贝晨星锤(30天)	[Episode11] 부베 모닝스타 (30일)	ITEM_20190110_016997	[Re:Build] 布贝晨星锤(30天)	[Re:Build] 부베 모닝스타 (30일)	
ITEM_20190513_018617	[Episode11] 布贝盔甲(30天)	[Episode11] 부베 아머 (30일)	ITEM_20190110_016998	[Re:Build] 布贝盔甲(30天)	[Re:Build] 부베 아머 (30일)	
ITEM_20190513_018618	[Episode11] 布贝短裤(30天)	[Episode11] 부베 팬츠 (30일)	ITEM_20190110_016999	[Re:Build] 布贝短裤(30天)	[Re:Build] 부베 팬츠 (30일)	
ITEM_20190513_018619	[Episode11] 凯米尼斯剑(30天)	[Episode11] 케미니스 소드 (30일)	ITEM_20190110_017000	[Re:Build] 凯米尼斯剑(30天)	[Re:Build] 케미니스 소드 (30일)	
ITEM_20190513_018620	[Episode11] 死灵查普利双手剑(30天)	[Episode11] 채퍼리션 투 핸드 소드 (30일)	ITEM_20190110_017001	[Re:Build] 死灵查普利双手剑(30天)	[Re:Build] 채퍼리션 투 핸드 소드 (30일)	
ITEM_20190513_018621	[Episode11] 死灵查普利权杖(30天)	[Episode11] 채퍼리션 로드 (30일)	ITEM_20190110_017002	[Re:Build] 死灵查普利权杖(30天)	[Re:Build] 채퍼리션 로드 (30일)	
ITEM_20190513_018622	[Episode11] 帕特里斯法杖(30天)	[Episode11] 파트리스 스태프 (30일)	ITEM_20190110_017003	[Re:Build] 帕特里斯法杖(30天)	[Re:Build] 파트리스 스태프 (30일)	
ITEM_20190513_018623	[Episode11] 死灵查普利弓(30天)	[Episode11] 채퍼리션 보우 (30일)	ITEM_20190110_017004	[Re:Build] 死灵查普利弓(30天)	[Re:Build] 채퍼리션 보우 (30일)	
ITEM_20190513_018624	[Episode11] 死灵查普利射手弓(30天)	[Episode11] 채퍼리션 슈터 (30일)	ITEM_20190110_017005	[Re:Build] 死灵查普利射手弓(30天)	[Re:Build] 채퍼리션 슈터 (30일)	
ITEM_20190513_018625	[Episode11] 死灵查普利钝器(30天)	[Episode11] 채퍼리션 메이스 (30일)	ITEM_20190110_017006	[Re:Build] 死灵查普利钝器(30天)	[Re:Build] 채퍼리션 메이스 (30일)	
ITEM_20190513_018626	[Episode11] 镀银矛枪(30天)	[Episode11] 실버 스피어 (30일)	ITEM_20190110_017007	[Re:Build] 镀银矛枪(30天)	[Re:Build] 실버 스피어 (30일)	
ITEM_20190513_018627	[Episode11] 凯米尼斯长枪(30天)	[Episode11] 케미니스 파이크 (30일)	ITEM_20190110_017008	[Re:Build] 凯米尼斯长枪(30天)	[Re:Build] 케미니스 파이크 (30일)	
ITEM_20190513_018628	[Episode11] 马克上衣(30天)	[Episode11] 마크 튜닉 (30일)	ITEM_20190110_017009	[Re:Build] 马克上衣(30天)	[Re:Build] 마크 튜닉 (30일)	
ITEM_20190513_018629	[Episode11] 马克短裤(30天)	[Episode11] 마크 팬츠 (30일)	ITEM_20190110_017010	[Re:Build] 马克短裤(30天)	[Re:Build] 마크 팬츠 (30일)	
ITEM_20190513_018630	[Episode11] 杜兰朵剑(30天)	[Episode11] 듀란달 (30일)	ITEM_20190110_017011	[Re:Build] 杜兰朵剑(30天)	[Re:Build] 듀란달 (30일)	
ITEM_20190513_018631	[Episode11] 弗拉米尼剑(30天)	[Episode11] 플라미니 (30일)	ITEM_20190110_017012	[Re:Build] 弗拉米尼剑(30天)	[Re:Build] 플라미니 (30일)	
ITEM_20190513_018632	[Episode11] 赛克雷顿权杖(30天)	[Episode11] 세크레툼 (30일)	ITEM_20190110_017013	[Re:Build] 赛克雷顿权杖(30天)	[Re:Build] 세크레툼 (30일)	
ITEM_20190513_018633	[Episode11] 烛火法杖(30天)	[Episode11] 캔들 스태프 (30일)	ITEM_20190110_017014	[Re:Build] 烛火法杖(30天)	[Re:Build] 캔들 스태프 (30일)	
ITEM_20190513_018634	[Episode11] 心之探索者弓(30天)	[Episode11] 하트 시커 (30일)	ITEM_20190110_017015	[Re:Build] 心之探索者弓(30天)	[Re:Build] 하트 시커 (30일)	
ITEM_20190513_018635	[Episode11] 射击之星(30天)	[Episode11] 슈팅스타 (30일)	ITEM_20190110_017016	[Re:Build] 射击之星(30天)	[Re:Build] 슈팅스타 (30일)	
ITEM_20190513_018636	[Episode11] 艾沙奇乌钝器(30天)	[Episode11] 에산치우 메이스 (30일)	ITEM_20190110_017017	[Re:Build] 艾沙奇乌钝器(30天)	[Re:Build] 에산치우 메이스 (30일)	
ITEM_20190513_018637	[Episode11] 末日矛枪(30天)	[Episode11] 둠 스피어 (30일)	ITEM_20190110_017018	[Re:Build] 末日矛枪(30天)	[Re:Build] 둠 스피어 (30일)	
ITEM_20190513_018638	[Episode11] 拉伊戴卡矛枪(30天)	[Episode11] 라이데카 (30일)	ITEM_20190110_017019	[Re:Build] 拉伊戴卡矛枪(30天)	[Re:Build] 라이데카 (30일)	
ITEM_20190513_018639	[Episode11] 铠甲盔甲(30天)	[Episode11] 브리간딘 아머 (30일)	ITEM_20190110_017020	[Re:Build] 铠甲盔甲(30天)	[Re:Build] 브리간딘 아머 (30일)	
ITEM_20190513_018640	[Episode11] 铠甲短裤(30天)	[Episode11] 브리간딘 팬츠 (30일)	ITEM_20190110_017021	[Re:Build] 铠甲短裤(30天)	[Re:Build] 브리간딘 팬츠 (30일)	
ITEM_20190513_018641	[Episode11] 贝尔尼乌波剑(30天)	[Episode11] 벨니웁 (30일)	ITEM_20190110_017022	[Re:Build] 贝尔尼乌波剑(30天)	[Re:Build] 벨니웁 (30일)	
