ITEM_20180327_000001	Empty_helmet	없음_helmet	
ITEM_20191029_021504	Mystic Tome (R.I.P.: Enhanced Upgrade)	신비한 서 (R.I.P.: 상급 강화)	
ITEM_20191029_021505	Learn the art [R.I.P.: Enhanced Upgrade] upon use.{nl} - Learn Condition: [R.I.P.: Enhance] Attribute Level 65{nl} - Cost to Learn or Level Up: 3057 Attribute Points{nl} - Art Description{nl}* [R.I.P.] skill factor is increased by 1.25% per attribute level	사용 시 [R.I.P.: 상급 강화] 아츠를 획득할 수 있습니다.{nl} - 습득 조건 : [R.I.P.: 강화] 특성 65 레벨 달성{nl} - 습득 또는 레벨업 특성 비용 : 3057 포인트{nl} - 아츠 설명{nl}* [R.I.P.]의 스킬 계수가 특성 레벨당 1.25% 증가	
ITEM_20191029_021506	Mystic Tome (Bloody Overdrive: Enhanced Upgrade)	신비한 서 (블러디 오버드라이브: 상급 강화)	
ITEM_20191029_021507	Learn the art [Bloody Overdrive: Enhanced Upgrade] upon use.{nl} - Learn Condition: [Bloody Overdrive: Enhance] Attribute Level 65{nl} - Cost to Learn or Level Up: 3057 Attribute Points{nl} - Art Description{nl}* [Bloody Overdrive] skill factor is increased by 1.25% per attribute level	사용 시 [블러디 오버드라이브: 상급 강화] 아츠를 획득할 수 있습니다.{nl} - 습득 조건 : [블러디 오버드라이브: 강화] 특성 65 레벨 달성{nl} - 습득 또는 레벨업 특성 비용 : 3057 포인트{nl} - 아츠 설명{nl}* [블러디 오버드라이브]의 스킬 계수가 특성 레벨당 1.25% 증가	
ITEM_20191029_021508	Mystic Tome (Smash Bullet: Enhanced Upgrade)	신비한 서 (파쇄탄: 상급 강화)	
ITEM_20191029_021509	Learn the art [Smash Bullet: Enhanced Upgrade] upon use.{nl} - Learn Condition: [Smash Bullet: Enhance] Attribute Level 65{nl} - Cost to Learn or Level Up: 3057 Attribute Points{nl} - Art Description{nl}* [Smash Bullet] skill factor is increased by 1.25% per attribute level	사용 시 [파쇄탄: 상급 강화] 아츠를 획득할 수 있습니다.{nl} - 습득 조건 : [파쇄탄: 강화] 특성 65 레벨 달성{nl} - 습득 또는 레벨업 특성 비용 : 3057 포인트{nl} - 아츠 설명{nl}* [파쇄탄]의 스킬 계수가 특성 레벨당 1.25% 증가	
ITEM_20191029_021510	Mystic Tome (Mozambique Drill: Enhanced Upgrade)	신비한 서 (모잠비크 드릴: 상급 강화)	
ITEM_20191029_021511	Learn the art [Mozambique Drill: Enhanced Upgrade] upon use.{nl} - Learn Condition: [Mozambique Drill: Enhance] Attribute Level 65{nl} - Cost to Learn or Level Up: 3057 Attribute Points{nl} - Art Description{nl}* [Mozambique Drill] skill factor is increased by 1.25% per attribute level	사용 시 [모잠비크 드릴: 상급 강화] 아츠를 획득할 수 있습니다.{nl} - 습득 조건 : [모잠비크 드릴: 강화] 특성 65 레벨 달성{nl} - 습득 또는 레벨업 특성 비용 : 3057 포인트{nl} - 아츠 설명{nl}* [모잠비크 드릴]의 스킬 계수가 특성 레벨당 1.25% 증가	
ITEM_20191029_021512	Mystic Tome (Outrage: Enhanced Upgrade)	신비한 서 (아웃레이지: 상급 강화)	
ITEM_20191029_021513	Learn the art [Outrage: Enhanced Upgrade] upon use.{nl} - Learn Condition: [Outrage: Enhance] Attribute Level 65{nl} - Cost to Learn or Level Up: 3057 Attribute Points{nl} - Art Description{nl}* [Outrage] skill factor is increased by 1.25% per attribute level	사용 시 [아웃레이지: 상급 강화] 아츠를 획득할 수 있습니다.{nl} - 습득 조건 : [아웃레이지: 강화] 특성 65 레벨 달성{nl} - 습득 또는 레벨업 특성 비용 : 3057 포인트{nl} - 아츠 설명{nl}* [아웃레이지]의 스킬 계수가 특성 레벨당 1.25% 증가	
ITEM_20191029_021514	Mystic Tome (Granata: Enhanced Upgrade)	신비한 서 (그라나다: 상급 강화)	
ITEM_20191029_021515	Learn the art [Granata: Enhanced Upgrade] upon use.{nl} - Learn Condition: [Granata: Enhance] Attribute Level 65{nl} - Cost to Learn or Level Up: 3057 Attribute Points{nl} - Art Description{nl}* [Granata] skill factor is increased by 1.25% per attribute level	사용 시 [그라나다: 상급 강화] 아츠를 획득할 수 있습니다.{nl} - 습득 조건 : [그라나다: 강화] 특성 65 레벨 달성{nl} - 습득 또는 레벨업 특성 비용 : 3057 포인트{nl} - 아츠 설명{nl}* [그라나다]의 스킬 계수가 특성 레벨당 1.25% 증가	
ITEM_20191029_021516	Mystic Tome (Tre Granata: Enhanced Upgrade)	신비한 서 (트레 그라나다: 상급 강화)	
ITEM_20191029_021517	Learn the art [Tre Granata: Enhanced Upgrade] upon use.{nl} - Learn Condition: [Tre Granata: Enhance] Attribute Level 65{nl} - Cost to Learn or Level Up: 3057 Attribute Points{nl} - Art Description{nl}* [Tre Granata] skill factor is increased by 1.25% per attribute level	사용 시 [트레 그라나다: 상급 강화] 아츠를 획득할 수 있습니다.{nl} - 습득 조건 : [트레 그라나다: 강화] 특성 65 레벨 달성{nl} - 습득 또는 레벨업 특성 비용 : 3057 포인트{nl} - 아츠 설명{nl}* [트레 그라나다]의 스킬 계수가 특성 레벨당 1.25% 증가	
ITEM_20191029_021518	Mystic Tome (Ritirarsi: Enhanced Upgrade)	신비한 서 (리티라르시: 상급 강화)	
ITEM_20191029_021519	Learn the art [Ritirarsi: Enhanced Upgrade] upon use.{nl} - Learn Condition: [Ritirarsi: Enhance] Attribute Level 65{nl} - Cost to Learn or Level Up: 3057 Attribute Points{nl} - Art Description{nl}* [Ritirarsi] skill factor is increased by 1.25% per attribute level	사용 시 [리티라르시: 상급 강화] 아츠를 획득할 수 있습니다.{nl} - 습득 조건 : [리티라르시: 강화] 특성 65 레벨 달성{nl} - 습득 또는 레벨업 특성 비용 : 3057 포인트{nl} - 아츠 설명{nl}* [리티라르시]의 스킬 계수가 특성 레벨당 1.25% 증가	
ITEM_20191029_021520	Mystic Tome (Invasione: Enhanced Upgrade)	신비한 서 (인바시오네: 상급 강화)	
ITEM_20191029_021521	Learn the art [Invasione: Enhanced Upgrade] upon use.{nl} - Learn Condition: [Invasione: Enhance] Attribute Level 65{nl} - Cost to Learn or Level Up: 3057 Attribute Points{nl} - Art Description{nl}* [Invasione] skill factor is increased by 1.25% per attribute level	사용 시 [인바시오네: 상급 강화] 아츠를 획득할 수 있습니다.{nl} - 습득 조건 : [인바시오네: 강화] 특성 65 레벨 달성{nl} - 습득 또는 레벨업 특성 비용 : 3057 포인트{nl} - 아츠 설명{nl}* [인바시오네]의 스킬 계수가 특성 레벨당 1.25% 증가	
ITEM_20191029_021522	Mystic Tome (Taglio: Enhanced Upgrade)	신비한 서 (탈리오: 상급 강화)	
ITEM_20191029_021523	Learn the art [Taglio: Enhanced Upgrade] upon use.{nl} - Learn Condition: [Taglio: Enhance] Attribute Level 65{nl} - Cost to Learn or Level Up: 3057 Attribute Points{nl} - Art Description{nl}* [Taglio] skill factor is increased by 1.25% per attribute level	사용 시 [탈리오: 상급 강화] 아츠를 획득할 수 있습니다.{nl} - 습득 조건 : [탈리오: 강화] 특성 65 레벨 달성{nl} - 습득 또는 레벨업 특성 비용 : 3057 포인트{nl} - 아츠 설명{nl}* [탈리오]의 스킬 계수가 특성 레벨당 1.25% 증가	
ITEM_20191029_021524	Mystic Tome (Quick Draw: Enhanced Upgrade)	신비한 서 (퀵 드로우: 상급 강화)	
ITEM_20191029_021525	Learn the art [Quick Draw: Enhanced Upgrade] upon use.{nl} - Learn Condition: [Quick Draw: Enhance] Attribute Level 65{nl} - Cost to Learn or Level Up: 3057 Attribute Points{nl} - Art Description{nl}* [Quick Draw] skill factor is increased by 1.25% per attribute level	사용 시 [퀵 드로우: 상급 강화] 아츠를 획득할 수 있습니다.{nl} - 습득 조건 : [퀵 드로우: 강화] 특성 65 레벨 달성{nl} - 습득 또는 레벨업 특성 비용 : 3057 포인트{nl} - 아츠 설명{nl}* [퀵 드로우]의 스킬 계수가 특성 레벨당 1.25% 증가	
ITEM_20191029_021526	Mystic Tome (Fanning: Enhanced Upgrade)	신비한 서 (패닝: 상급 강화)	
ITEM_20191029_021527	Learn the art [Fanning: Enhanced Upgrade] upon use.{nl} - Learn Condition: [Fanning: Enhance] Attribute Level 65{nl} - Cost to Learn or Level Up: 3057 Attribute Points{nl} - Art Description{nl}* [Fanning] skill factor is increased by 1.25% per attribute level	사용 시 [패닝: 상급 강화] 아츠를 획득할 수 있습니다.{nl} - 습득 조건 : [패닝: 강화] 특성 65 레벨 달성{nl} - 습득 또는 레벨업 특성 비용 : 3057 포인트{nl} - 아츠 설명{nl}* [패닝]의 스킬 계수가 특성 레벨당 1.25% 증가	
ITEM_20191029_021528	Mystic Tome (Peacemaker: Enhanced Upgrade)	신비한 서 (피스메이커: 상급 강화)	
ITEM_20191029_021529	Learn the art [Peacemaker: Enhanced Upgrade] upon use.{nl} - Learn Condition: [Peacemaker: Enhance] Attribute Level 65{nl} - Cost to Learn or Level Up: 3057 Attribute Points{nl} - Art Description{nl}* [Peacemaker] skill factor is increased by 1.25% per attribute level	사용 시 [피스메이커: 상급 강화] 아츠를 획득할 수 있습니다.{nl} - 습득 조건 : [피스메이커: 강화] 특성 65 레벨 달성{nl} - 습득 또는 레벨업 특성 비용 : 3057 포인트{nl} - 아츠 설명{nl}* [피스메이커]의 스킬 계수가 특성 레벨당 1.25% 증가	
ITEM_20191029_021530	Mystic Tome (Aiming Shot: Enhanced Upgrade)	신비한 서 (에이밍 샷: 상급 강화)	
ITEM_20191029_021531	Learn the art [Aiming Shot: Enhanced Upgrade] upon use.{nl} - Learn Condition: [Aiming Shot: Enhance] Attribute Level 65{nl} - Cost to Learn or Level Up: 3057 Attribute Points{nl} - Art Description{nl}* [Aiming Shot] skill factor is increased by 1.25% per attribute level	사용 시 [에이밍 샷: 상급 강화] 아츠를 획득할 수 있습니다.{nl} - 습득 조건 : [에이밍 샷: 강화] 특성 65 레벨 달성{nl} - 습득 또는 레벨업 특성 비용 : 3057 포인트{nl} - 아츠 설명{nl}* [에이밍 샷]의 스킬 계수가 특성 레벨당 1.25% 증가	
ITEM_20191029_021532	Mystic Tome (Begone Demon: Enhanced Upgrade)	신비한 서 (급급여율령: 상급 강화)	
ITEM_20191029_021533	Learn the art [Begone Demon: Enhanced Upgrade] upon use.{nl} - Learn Condition: [Begone Demon: Enhance] Attribute Level 65{nl} - Cost to Learn or Level Up: 3057 Attribute Points{nl} - Art Description{nl}* [Begone Demon] skill factor is increased by 1.25% per attribute level	사용 시 [급급여율령: 상급 강화] 아츠를 획득할 수 있습니다.{nl} - 습득 조건 : [급급여율령: 강화] 특성 65 레벨 달성{nl} - 습득 또는 레벨업 특성 비용 : 3057 포인트{nl} - 아츠 설명{nl}* [급급여율령]의 스킬 계수가 특성 레벨당 1.25% 증가	
ITEM_20191029_021534	Mystic Tome (Rubric: Enhanced Upgrade)	신비한 서 (루브릭: 상급 강화)	
ITEM_20191029_021535	Learn the art [Rubric: Enhanced Upgrade] upon use.{nl} - Learn Condition: [Rubric: Enhance] Attribute Level 65{nl} - Cost to Learn or Level Up: 3057 Attribute Points{nl} - Art Description{nl}* [Rubric] skill factor is increased by 1.25% per attribute level	사용 시 [루브릭: 상급 강화] 아츠를 획득할 수 있습니다.{nl} - 습득 조건 : [루브릭: 강화] 특성 65 레벨 달성{nl} - 습득 또는 레벨업 특성 비용 : 3057 포인트{nl} - 아츠 설명{nl}* [루브릭]의 스킬 계수가 특성 레벨당 1.25% 증가	
ITEM_20191029_021536	Mystic Tome (Entity: Enhanced Upgrade)	신비한 서 (엔터티: 상급 강화)	
ITEM_20191029_021537	Learn the art [Entity: Enhanced Upgrade] upon use.{nl} - Learn Condition: [Entity: Enhance] Attribute Level 65{nl} - Cost to Learn or Level Up: 3057 Attribute Points{nl} - Art Description{nl}* [Entity] skill factor is increased by 1.25% per attribute level	사용 시 [엔터티: 상급 강화] 아츠를 획득할 수 있습니다.{nl} - 습득 조건 : [엔터티: 강화] 특성 65 레벨 달성{nl} - 습득 또는 레벨업 특성 비용 : 3057 포인트{nl} - 아츠 설명{nl}* [엔터티]의 스킬 계수가 특성 레벨당 1.25% 증가	
ITEM_20191029_021538	Ichor - One-handed Sword	아이커 - 한손검	
ITEM_20191029_021539	Ichor - Two-handed Sword	아이커 - 양손검	
ITEM_20191029_021540	Ichor - Blunt	아이커 - 둔기	
ITEM_20191029_021541	Ichor - Two-handed Blunt	아이커 - 양손둔기	
ITEM_20191029_021542	Ichor - Crossbow	아이커 - 쇠뇌	
ITEM_20191029_021543	Ichor - Bow	아이커 - 활	
ITEM_20191029_021544	Ichor - Pistol	아이커 - 권총	
ITEM_20191029_021545	Ichor - Musket	아이커 - 머스킷	
ITEM_20191029_021546	Ichor - One-handed Spear	아이커 - 한손창	
ITEM_20191029_021547	Ichor - Two-handed Spear	아이커 - 양손창	
ITEM_20191029_021548	Ichor - Dagger	아이커 - 단검	
ITEM_20191029_021549	Ichor - Cannon	아이커 - 캐논	
ITEM_20191029_021550	Ichor - Rod	아이커 - 로드	
ITEM_20191029_021551	Ichor - Staff	아이커 - 스태프	
ITEM_20191029_021552	Ichor - Rapier	아이커 - 레이피어	
ITEM_20191029_021553	Ichor - Shield	아이커 - 방패	
ITEM_20191029_021554	Ichor - Top	아이커 - 상의	
ITEM_20191029_021555	Ichor - Bottom	아이커 - 하의	
ITEM_20191029_021556	Ichor - Gloves	아이커 - 장갑	
ITEM_20191029_021557	Ichor - Boots	아이커 - 신발	
ITEM_20191029_021558	Use to obtain a TOS Beach Ball.{nl}Will be automatically deleted at the end of the event period.	사용 시 TOS 비치볼이 함께 합니다.{nl}9월 5일 점검 시, 일괄 삭제됩니다.	ITEM_20190820_019812	Use to obtain a TOS Beach Ball.{nl}Will be automatically deleted at the end of the event period.	사용 시 TOS 비치볼이 함께 합니다.{nl}8월 22일 점검 시, 일괄 삭제됩니다.	
ITEM_20191029_021559	Supply Certificate	보급 증서	
ITEM_20191029_021560	Supply Certificate required to obtain Scrolls from the Supply Device in the Sewer Docks.{nl}Can be obtained by defeating monsters in the Outer Wall Sewers.{nl}Item is automatically removed when leaving the Outer Wall Sewers.{nl}Item can be discarded. 	지하수로 선착장에 있는 보급 장치에서 보급품을 받기위해 필요한 보급 증서입니다.{nl}외성벽 지하수로의 몬스터를 처치하다 보면 획득할 수 있습니다.{nl}외성벽 지하수로를 벗어나면 아이템은 사라집니다.{nl}아이템을 버릴 수 있습니다. 	
ITEM_20191029_021561	Green Scroll	초록색 보급품	
ITEM_20191029_021562	A Green Scroll.{nl}Interact with the buff device within the Misrus' Chamber to receive the corresponding buff. The scroll will be consumed when a buff is received.{nl}Item is automatically removed when leaving the Outer Wall Sewers.{nl}Item can be discarded. 	초록색 보급품입니다.{nl}폐쇄구역에 있는 버프 장치 중 원하는 장치에 말을 걸면 해당 장치의 버프 효과를 얻을 수 있습니다. 버프를 획득하면 보급품은 사라집니다.{nl}외성벽 지하수로를 벗어나면 아이템은 사라집니다.{nl}아이템을 버릴 수 있습니다. 	
ITEM_20191029_021563	Purple Scroll	보라색 보급품	
ITEM_20191029_021564	A Purple Scroll.{nl}Interact with the buff device within the Misrus' Chamber to receive the corresponding buff. The scroll will be consumed when a buff is received.{nl}Item is automatically removed when leaving the Outer Wall Sewers.{nl}Item can be discarded. 	보라색 보급품입니다.{nl}폐쇄구역에 있는 버프 장치 중 원하는 장치에 말을 걸면 해당 장치의 버프 효과를 얻을 수 있습니다. 버프를 획득하면 보급품은 사라집니다.{nl}외성벽 지하수로를 벗어나면 아이템은 사라집니다.{nl}아이템을 버릴 수 있습니다. 	
ITEM_20191029_021565	Yellow Scroll	노란색 보급품	
ITEM_20191029_021566	A Yellow Scroll.{nl}Interact with the buff device within the Misrus' Chamber to receive the corresponding buff. The scroll will be consumed when a buff is received.{nl}Item is automatically removed when leaving the Outer Wall Sewers.{nl}Item can be discarded. 	노란색 보급품입니다.{nl}폐쇄구역에 있는 버프 장치 중 원하는 장치에 말을 걸면 해당 장치의 버프 효과를 얻을 수 있습니다. 버프를 획득하면 보급품은 사라집니다.{nl}외성벽 지하수로를 벗어나면 아이템은 사라집니다.{nl}아이템을 버릴 수 있습니다. 	
ITEM_20191029_021567	Magical Charm	마력이 깃든 팔찌	
ITEM_20191029_021568	A charm required for you to be able to attack the Coward Chesha that appears in the Outer Wall Sewers. It is imbued with a magical power.{nl}Can added to the quickslot for use.{nl}Right-click the item in the inventory to use.	외성벽 지하수로에 나타나는 겁쟁이 체샤를 공격하기 위해 필요한 팔찌입니다. 신비로운 마력이 느껴집니다.{nl}아이템 슬롯에 팔찌를 등록하여 사용할 수 있습니다.{nl}인벤토리 창에서 아이템을 우클릭하여 사용할 수 있습니다.	
ITEM_20191029_021569	Red Scroll	붉은색 보급품	
ITEM_20191029_021570	A Red Scroll.{nl}Interact with the buff device within the Misrus' Chamber to receive the corresponding buff. The scroll will be consumed when a buff is received.{nl}Item is automatically removed when leaving the Outer Wall Sewers.{nl}Item can be discarded. 	붉은색 보급품입니다.{nl}폐쇄구역에 있는 버프 장치 중 원하는 장치에 말을 걸면 해당 장치의 버프 효과를 얻을 수 있습니다. 버프를 획득하면 보급품은 사라집니다.{nl}외성벽 지하수로를 벗어나면 아이템은 사라집니다.{nl}아이템을 버릴 수 있습니다. 	
ITEM_20191029_021571	Spoiled Candy	맛이 이상한 할로윈 사탕	
ITEM_20191029_021572	Can be used on Scarecrows to make the Wicked Witch vulnerable to attacks.{nl}Removed when the event dungeon has been exited.	할로윈 허수아비에 사용하여 할로윈 마녀를 무력화 시킬 수 있습니다.{nl}던전 종료 시, 일괄 삭제됩니다.	
ITEM_20191107_021573	Red TOS Ranger Helmet (Male)	TOS 스쿼드 레드 헬멧 (남)	
ITEM_20191107_021574	A TOS Ranger helmet.	TOS레인저 헬멧입니다.	
ITEM_20191107_021575	Red TOS Ranger Helmet (Female)	TOS 스쿼드 레드 헬멧 (여)	
ITEM_20191107_021576	Pink TOS Ranger Helmet	TOS 스쿼드 핑크 헬멧	
ITEM_20191107_021577	Blue TOS Ranger Helmet	TOS 스쿼드 블루 헬멧	
ITEM_20191107_021578	Green TOS Ranger Helmet	TOS 스쿼드 그린 헬멧	
ITEM_20191107_021579	Yellow TOS Ranger Helmet	TOS 스쿼드 옐로우 헬멧	
ITEM_20191107_021580	Kaiju Helmet Costume	괴수 헬멧 코스튬	
ITEM_20191107_021581	A helmet replicating the head of the Kaiju that TOS Rangers battle against.{nl} Can be exchanged for medals at the Exchange Shop.	TOS 스쿼드에 대항하는 괴수를 본 뜬 헬멧입니다.{nl} 리사이클샵에서 메달로 교환 가능합니다.	
ITEM_20191107_021582	Red TOS Ranger Costume (Male)	TOS 스쿼드 레드 코스튬 (남)	
ITEM_20191107_021583	Costume worn by the leader of the TOS Rangers.{nl}Use to change your appearance. Allows you to use 	TOS 스쿼드의 리더인 레드가 착용하는 옷입니다. {nl}착용하면 외형이 변경 됩니다. 스킬을 통해 	
ITEM_20191107_021584	Red TOS Ranger Costume (Female)	TOS 스쿼드 레드 코스튬 (여)	
ITEM_20191107_021585	TOS Ranger Pink Costume (Male)	TOS 스쿼드 핑크 코스튬 (남)	
ITEM_20191107_021586	Costume worn by the Pink TOS Ranger.{nl}Use to change your appearance. Allows you to use 	TOS 스쿼드 핑크가 착용하는 옷입니다. {nl}착용하면 외형이 변경 됩니다. 스킬을 통해 	
ITEM_20191107_021587	Blue TOS Ranger Costume (Female)	TOS 스쿼드 블루 코스튬 (여)	
ITEM_20191107_021588	Costume worn by the Blue TOS Ranger.{nl}Use to change your appearance. Allows you to use 	TOS 스쿼드 블루가 착용하는 옷입니다. {nl}착용하면 외형이 변경 됩니다. 스킬을 통해 	
ITEM_20191107_021589	Green TOS Ranger Costume (Male)	TOS 스쿼드 그린 코스튬 (남)	
ITEM_20191107_021590	Costume worn by the Green TOS Ranger.{nl}Use to change your appearance. Allows you to use 	TOS 스쿼드 그린이 착용하는 옷입니다. {nl}착용하면 외형이 변경 됩니다. 스킬을 통해 	
ITEM_20191107_021591	Yellow TOS Ranger Costume (Female)	TOS 스쿼드 옐로우 코스튬 (여)	
ITEM_20191107_021592	Costume worn by the Yellow TOS Ranger.{nl}Use to change your appearance. Allows you to use 	TOS 스쿼드 옐로우가 착용하는 옷입니다. {nl}착용하면 외형이 변경 됩니다. 스킬을 통해 	
ITEM_20191107_021593	Red TOS Ranger Costume - Transform	TOS 스쿼드 레드 코스튬 - 폼 체인지	
ITEM_20191107_021594	TOS Ranger Transfomation Costume	TOS 스쿼드 폼 체인지 코스튬	
ITEM_20191107_021595	Pink TOS Ranger Costume - Transform	TOS 스쿼드 핑크 코스튬 - 폼 체인지	
ITEM_20191107_021596	Blue TOS Ranger Costume - Transform	TOS 스쿼드 블루 코스튬 - 폼 체인지	
ITEM_20191107_021597	Yellow TOS Ranger Costume - Transform	TOS 스쿼드 옐로우 코스튬 - 폼 체인지	
ITEM_20191107_021598	Green TOS Ranger Costume - Transform	TOS 스쿼드 그린 코스튬 - 폼 체인지	
ITEM_20191107_021599	Yellow Beanie	옐로우 비니	
ITEM_20191107_021600	Attire worn by the TOS Rangers when off duty.{nl} Can be exchanged for medals at the Exchange Shop.	TOS 스쿼드가 평상시에 착용하는 모자입니다. {nl} 리사이클샵에서 메달로 교환 가능합니다.	
ITEM_20191107_021601	Checkered Hat	타탄체크 모자	
ITEM_20191107_021602	TOS Ranger Hairpin	TOS 스쿼드 머리핀	
ITEM_20191107_021603	Hairpin worn by the Yellow TOS Ranger when off duty.{nl} Can be exchanged for medals at the Exchange Shop.	TOS 스쿼드 옐로우가 평상시 착용한다는 머리핀입니다.{nl} 리사이클샵에서 메달로 교환 가능합니다.	
ITEM_20191107_021604	TOS Ranger Glasses	TOS 스쿼드 안경	
ITEM_20191107_021605	Glasses worn by Green TOS Ranger when off duty.{nl} Can be exchanged for medals at the Exchange Shop.	TOS 스쿼드 그린이 평상시 착용한다는 안경입니다.{nl} 리사이클샵에서 메달로 교환 가능합니다.	
ITEM_20191107_021606	TOS Ranger Sword	TOS 스쿼드 소드	
ITEM_20191107_021607	TOS Ranger Two-handed Sword	TOS 스쿼드 투 핸드 소드	
ITEM_20191107_021608	TOS Ranger Spear	TOS 스쿼드 스피어	
ITEM_20191107_021609	TOS Ranger Pike	TOS 스쿼드 파이크	
ITEM_20191107_021610	TOS Ranger Rapier	TOS 스쿼드 레이피어	
ITEM_20191107_021611	TOS Ranger Mace	TOS 스쿼드 메이스	
ITEM_20191107_021612	TOS Ranger Two-handed Mace	TOS 스쿼드 투 핸드 메이스	
ITEM_20191107_021613	TOS Ranger Bow	TOS 스쿼드 보우	
ITEM_20191107_021614	TOS Ranger Crossbow	TOS 스쿼드 크로스 보우	
ITEM_20191107_021615	TOS Ranger Musket	TOS 스쿼드 머스킷	
ITEM_20191107_021616	TOS Ranger Cannon	TOS 스쿼드 캐논	
ITEM_20191107_021617	TOS Ranger Dagger	TOS 스쿼드 대거	
ITEM_20191107_021618	TOS Ranger Pistol	TOS 스쿼드 피스톨	
ITEM_20191107_021619	TOS Ranger Staff	TOS 스쿼드 스태프	
ITEM_20191107_021620	TOS Ranger Rod	TOS 스쿼드 로드	
ITEM_20191107_021621	TOS Ranger Shield	TOS 스쿼드 실드	
ITEM_20191107_021622	Adds 15 Attack when using basic attack. Can be used after assigning it to a quick slot.	일반 공격 시 +15 공격력을 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	ITEM_20180327_006626	Adds 15 Attack to your weapon. {nl}Can be used after assigning it to a quick slot.	무기에 +15 데미지를 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	
ITEM_20191107_021623	Adds 18 Attack when using basic attack. Can be used after assigning it to a quick slot.	일반 공격 시 +18 공격력을 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	ITEM_20180327_006628	Adds 18 Attack to your weapon. {nl}Can be used after assigning it to a quick slot.	무기에 +18 데미지를 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	
ITEM_20191107_021624	Adds 21 Attack when using basic attack. Can be used after assigning it to a quick slot.	일반 공격 시 +21 공격력을 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	ITEM_20180327_006630	Adds 21 Attack to your weapon. {nl}Can be used after assigning it to a quick slot.	무기에 +21 데미지를 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	
ITEM_20191107_021625	Adds 24 Attack when using basic attack. Can be used after assigning it to a quick slot.	일반 공격 시 +24 공격력을 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	ITEM_20180327_006632	Adds 24 Attack to your weapon. {nl}Can be used after assigning it to a quick slot.	무기에 +24 데미지를 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	
ITEM_20191107_021626	Adds 27 Attack when using basic attack. Can be used after assigning it to a quick slot.	일반 공격 시 +27 공격력을 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	ITEM_20180327_006634	Adds 27 Attack to your weapon. {nl}Can be used after assigning it to a quick slot.	무기에 +27 데미지를 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	
ITEM_20191107_021627	Adds 30 Attack when using basic attack. Can be used after assigning it to a quick slot.	일반 공격 시 +30 공격력을 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	ITEM_20180327_006656	Adds 30 Attack to your weapon. {nl}Can be used after assigning it to a quick slot.	무기에 +30 데미지를 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	
ITEM_20191107_021628	Adds 33 Attack when using basic attack. Can be used after assigning it to a quick slot.	일반 공격 시 +33 공격력을 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	ITEM_20180327_006658	Adds 33 Attack to your weapon. {nl}Can be used after assigning it to a quick slot.	무기에 +33 데미지를 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	
ITEM_20191107_021629	Adds 36 Attack when using basic attack. Can be used after assigning it to a quick slot.	일반 공격 시 +36 공격력을 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	ITEM_20180327_006660	Adds 36 Attack to your weapon. {nl}Can be used after assigning it to a quick slot.	무기에 +36 데미지를 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	
ITEM_20191107_021630	Adds 39 Attack when using basic attack. Can be used after assigning it to a quick slot.	일반 공격 시 +39 공격력을 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	ITEM_20180327_006662	Adds 39 Attack to your weapon. {nl}Can be used after assigning it to a quick slot.	무기에 +39 데미지를 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	
ITEM_20191107_021631	Adds 42 Attack when using basic attack. Can be used after assigning it to a quick slot.	일반 공격 시 +42 공격력을 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	ITEM_20180327_006664	Adds 42 Attack to your weapon. {nl}Can be used after assigning it to a quick slot.	무기에 +42 데미지를 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	
ITEM_20191107_021632	Adds 45 Attack when using basic attack. Can be used after assigning it to a quick slot.	일반 공격 시 +45 공격력을 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	ITEM_20180327_006666	Adds 45 Attack to your weapon. {nl}Can be used after assigning it to a quick slot.	무기에 +45 데미지를 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	
ITEM_20191107_021633	Adds 48 Attack when using basic attack. Can be used after assigning it to a quick slot.	일반 공격 시 +48 공격력을 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	ITEM_20180327_006668	Adds 48 Attack to your weapon. {nl}Can be used after assigning it to a quick slot.	무기에 +48 데미지를 추가합니다. 퀵슬롯에 등록후 사용이 가능합니다.	
